Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	0.0
PD_02_PD_05	-0.03333231473419296
PD_02_PD_07	-0.06124050989745944
PD_02_PD_12	-0.054369556643949046
PD_02_PD_15	-0.07575041817105654
PD_03_PD_15	5.361325050579069e-09
PD_04_PD_12	1.1987334564977914e-06
PD_04_PD_14	0.0
PD_04_PD_15	1.003559825796252e-06
PD_06_PD_14	0.0
PD_07_PD_09	-6.903261893453916e-06
PD_07_PD_10	-0.11160223606172848
PD_07_PD_11	-2.072062938007768e-06
PD_07_PD_12	-0.00035070021122407535
PD_07_PD_13	-6.891888295723625e-06
PD_07_PD_15	-6.669815720039551e-05
PD_07_PD_16	-6.763635486872754e-05
PD_07_PD_17	-1.9529527676365177e-05
PD_07_PD_20	-3.05915637710541e-07
PD_08_PD_14	0.011957205000947324
PD_10_PD_12	9.023529035090405e-07
PD_10_PD_15	-0.6309761056275974
PD_10_PD_19	-0.07398398942243534
PD_11_PD_12	-2.4778775195022362e-06
PD_11_PD_15	-1.5854857223773777e-06
PD_12_PD_14	1.2584293422879256e-06
PD_12_PD_15	-0.03262443744458399
PD_12_PD_17	-4.346885506878451e-06
PD_12_PD_19	-0.0005963472021097704
PD_12_PD_20	-3.7067730473960836e-07
PD_15_PD_17	-1.5048877863521604e-05
PD_15_PD_18	1.055140957939571e-06
PD_15_PD_20	-3.202650390443651e-07
