Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	7.438494264988549e-15
PD_02_PD_05	0.0010329441472368694
PD_02_PD_07	0.0009046979384050857
PD_02_PD_12	-0.07774703849553855
PD_02_PD_15	-0.005465990233980089
PD_03_PD_15	7.771561172376096e-16
PD_04_PD_12	2.260734756531768e-05
PD_04_PD_14	7.438494264988549e-15
PD_04_PD_15	3.067712750493001e-11
PD_06_PD_14	7.216449660063518e-15
PD_07_PD_09	-3.560272077152149e-10
PD_07_PD_10	-0.061711606743669045
PD_07_PD_11	-1.494969481541375e-09
PD_07_PD_12	1.1911590140800676e-05
PD_07_PD_13	-4.2555990388493115e-05
PD_07_PD_15	-3.680291849050832e-08
PD_07_PD_16	-3.683387916897374e-08
PD_07_PD_17	-1.3948427968202282e-09
PD_07_PD_20	-2.9951596758337473e-12
PD_08_PD_14	-0.0016112701555732745
PD_10_PD_12	1.3081053904517859e-05
PD_10_PD_15	-0.33668607729487093
PD_10_PD_19	-0.033032011590420796
PD_11_PD_12	-9.318487261267272e-05
PD_11_PD_15	-1.443224983965763e-09
PD_12_PD_14	-6.384415549343103e-06
PD_12_PD_15	-0.0036325969061371532
PD_12_PD_17	-0.00045006765187738385
PD_12_PD_19	-0.0166942954750251
PD_12_PD_20	-1.6955591083611665e-05
PD_15_PD_17	-3.363244238663299e-09
PD_15_PD_18	3.096156664383898e-11
PD_15_PD_20	-1.3957168754075155e-11
