Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	0.0
PD_02_PD_05	0.04353973304387815
PD_02_PD_07	0.06536959842631862
PD_02_PD_12	-0.001982245971354324
PD_02_PD_15	0.23236669104597651
PD_03_PD_15	0.01737841454647049
PD_04_PD_12	5.7205351566835816e-12
PD_04_PD_14	0.0
PD_04_PD_15	-0.008247596320273387
PD_06_PD_14	0.0
PD_07_PD_09	-0.007029333513769109
PD_07_PD_10	-0.03368744965754422
PD_07_PD_11	-0.0017627764861216644
PD_07_PD_12	-9.319281102371235e-07
PD_07_PD_13	-0.00489022629943392
PD_07_PD_15	0.0030491755159893774
PD_07_PD_16	-0.35646709611020533
PD_07_PD_17	-2.5424107263916085e-14
PD_07_PD_20	-0.0018303337842551226
PD_08_PD_14	-0.0002802326665866106
PD_10_PD_12	4.711120382694389e-12
PD_10_PD_15	-0.4332003885255969
PD_10_PD_19	-0.01844381933519279
PD_11_PD_12	-0.00017263304618997388
PD_11_PD_15	0.02179609706648533
PD_12_PD_14	-6.309397448944765e-13
PD_12_PD_15	-0.015967752884805342
PD_12_PD_17	-5.412337245047638e-13
PD_12_PD_19	-1.3824218887403816e-06
PD_12_PD_20	-7.841283178322556e-12
PD_15_PD_17	-3.8056224838101116e-11
PD_15_PD_18	0.23502748550861186
PD_15_PD_20	-0.00453260722064297
