Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	0.0
PD_02_PD_05	-0.03003989800788842
PD_02_PD_07	-0.05462206251756252
PD_02_PD_12	-0.04931556666397585
PD_02_PD_15	-0.07130597977600173
PD_03_PD_15	9.284284818722455e-08
PD_04_PD_12	9.841160902857027e-07
PD_04_PD_14	0.0
PD_04_PD_15	9.108225862419772e-07
PD_06_PD_14	0.0
PD_07_PD_09	-5.860956994840905e-06
PD_07_PD_10	-0.10267164514923266
PD_07_PD_11	-1.7367032483228684e-06
PD_07_PD_12	-0.00031461244981889624
PD_07_PD_13	-5.8523169433888356e-06
PD_07_PD_15	-6.890155811567489e-05
PD_07_PD_16	-6.976113743750734e-05
PD_07_PD_17	-1.683783971961894e-05
PD_07_PD_20	-2.5454731278351517e-07
PD_08_PD_14	0.01168487297354337
PD_10_PD_12	7.488014425183209e-07
PD_10_PD_15	-0.6189548717054862
PD_10_PD_19	-0.06415513439827325
PD_11_PD_12	-2.085747659696935e-06
PD_11_PD_15	-2.477745040807555e-06
PD_12_PD_14	1.0306725721775933e-06
PD_12_PD_15	-0.03641063840092873
PD_12_PD_17	-3.681542243949565e-06
PD_12_PD_19	-0.0005497350510038634
PD_12_PD_20	-3.0946390994213147e-07
PD_15_PD_17	-1.291757887522671e-05
PD_15_PD_18	9.514383291220341e-07
PD_15_PD_20	-3.0827194463789453e-07
