Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	2.428803713705463e-08
PD_02_PD_05	-0.009024196993258071
PD_02_PD_07	-0.010739746340235778
PD_02_PD_12	-0.009638973342797619
PD_02_PD_15	0.0008272840086123168
PD_03_PD_15	0.01847882947153323
PD_04_PD_12	7.268411262051355e-05
PD_04_PD_14	2.428803713705463e-08
PD_04_PD_15	-0.009876224260882749
PD_06_PD_14	2.428803713705463e-08
PD_07_PD_09	-0.007029388421447624
PD_07_PD_10	-0.10413924455976642
PD_07_PD_11	-0.00673037093480966
PD_07_PD_12	-0.0020180644844363105
PD_07_PD_13	-0.005423221471771655
PD_07_PD_15	-0.00875169001492948
PD_07_PD_16	-0.06689469130148462
PD_07_PD_17	-0.00012779561295628294
PD_07_PD_20	-0.0019333282402939078
PD_08_PD_14	-0.003139010733596459
PD_10_PD_12	6.337521964594472e-05
PD_10_PD_15	-0.6386114145591293
PD_10_PD_19	-0.07402191765154842
PD_11_PD_12	-0.012298518959411697
PD_11_PD_15	0.005615498187985124
PD_12_PD_14	-6.63930187561057e-06
PD_12_PD_15	-0.04464525894310856
PD_12_PD_17	-0.0001553542511254502
PD_12_PD_19	-0.009114135529473155
PD_12_PD_20	-2.246547173190283e-05
PD_15_PD_17	-0.002449908835648107
PD_15_PD_18	0.07257092603592852
PD_15_PD_20	0.006431402327979563
