Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	5.1465620654056465e-09
PD_02_PD_05	-0.12841676424067994
PD_02_PD_07	-0.13758562516566752
PD_02_PD_12	-0.004650864179849168
PD_02_PD_15	-0.006615943928476198
PD_03_PD_15	3.3732632276350927e-07
PD_04_PD_12	0.0001863310752392433
PD_04_PD_14	5.1465620654056465e-09
PD_04_PD_15	3.9177778177190703e-07
PD_06_PD_14	5.146533310629309e-09
PD_07_PD_09	-3.7502629350871786e-06
PD_07_PD_10	-0.37942128025584465
PD_07_PD_11	-0.00035869094616958197
PD_07_PD_12	-0.00026517770070400015
PD_07_PD_13	-0.003203963660640463
PD_07_PD_15	-3.384848682330688e-05
PD_07_PD_16	-3.424721432876421e-05
PD_07_PD_17	-1.745960881871511e-06
PD_07_PD_20	-4.700153732883905e-08
PD_08_PD_14	0.0
PD_10_PD_12	0.00016314868074185362
PD_10_PD_15	-0.833429152608862
PD_10_PD_19	-0.09556736229831075
PD_11_PD_12	-0.011811158181105674
PD_11_PD_15	-0.0012761592654253473
PD_12_PD_14	-2.203889434215789e-05
PD_12_PD_15	-0.01533196752456989
PD_12_PD_17	-0.0009191637378173079
PD_12_PD_19	-0.011108582297328695
PD_12_PD_20	-8.593784919885827e-05
PD_15_PD_17	-5.244517717772901e-06
PD_15_PD_18	3.9894420633679317e-07
PD_15_PD_20	-1.5818080645324528e-07
