Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	1.3433698597964394e-14
PD_02_PD_05	0.012049041233844426
PD_02_PD_07	0.007668953413271562
PD_02_PD_12	-0.06956330910197617
PD_02_PD_15	-0.029388195964648478
PD_03_PD_15	0.0
PD_04_PD_12	1.5395960917707896e-05
PD_04_PD_14	1.3655743202889425e-14
PD_04_PD_15	2.767468587627775e-08
PD_06_PD_14	1.3655743202889425e-14
PD_07_PD_09	-3.1602373702366293e-06
PD_07_PD_10	0.27573724307292047
PD_07_PD_11	-1.565931488367589e-06
PD_07_PD_12	-0.00021961674655102126
PD_07_PD_13	-0.009732377435511697
PD_07_PD_15	-8.874971385131047e-06
PD_07_PD_16	-8.90270476139321e-06
PD_07_PD_17	1.2367884494324244e-13
PD_07_PD_20	-4.1449402798932056e-08
PD_08_PD_14	-0.0003259512565019218
PD_10_PD_12	9.3988088505359e-06
PD_10_PD_15	-0.4613179680004779
PD_10_PD_19	-0.031018154608280057
PD_11_PD_12	-9.722953917645771e-05
PD_11_PD_15	-1.6412797798626144e-07
PD_12_PD_14	5.599803405864634e-06
PD_12_PD_15	-0.013510848895356475
PD_12_PD_17	-1.9205386991960616e-05
PD_12_PD_19	-0.005145931160755013
PD_12_PD_20	-1.9258719533343793e-05
PD_15_PD_17	-5.363790522849854e-10
PD_15_PD_18	2.778551766446924e-08
PD_15_PD_20	-1.595535614740129e-08
