Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	0.0
PD_02_PD_05	0.008095461467805709
PD_02_PD_07	0.019543413168532253
PD_02_PD_12	-0.049973310296375084
PD_02_PD_15	0.15112640447068615
PD_03_PD_15	0.022937840773295637
PD_04_PD_12	6.643278149809362e-10
PD_04_PD_14	0.0
PD_04_PD_15	-0.013130252102535156
PD_06_PD_14	0.0
PD_07_PD_09	-0.01708705215645323
PD_07_PD_10	-0.0746605242222016
PD_07_PD_11	-0.0018374424217851848
PD_07_PD_12	-4.99575783141637e-06
PD_07_PD_13	-0.016722076677632258
PD_07_PD_15	-0.0056417385293201505
PD_07_PD_16	-0.26286477504648365
PD_07_PD_17	-3.454075025999259e-09
PD_07_PD_20	-0.003584683497554475
PD_08_PD_14	0.027905487327281375
PD_10_PD_12	5.167226646562995e-10
PD_10_PD_15	-0.45200517203354373
PD_10_PD_19	-0.05761143329638796
PD_11_PD_12	-5.72737490767139e-09
PD_11_PD_15	0.022622880425997027
PD_12_PD_14	-1.7947676678176094e-10
PD_12_PD_15	-0.0021301657909779115
PD_12_PD_17	-1.3090297290574426e-08
PD_12_PD_19	-4.64278416461017e-05
PD_12_PD_20	-4.3126147097893863e-10
PD_15_PD_17	-2.0537167744194562e-08
PD_15_PD_18	0.1989191408958767
PD_15_PD_20	-0.009222970236005268
