Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	2.220446049250313e-16
PD_02_PD_05	-0.02451230022499873
PD_02_PD_07	-0.033871486226384584
PD_02_PD_12	-0.06870638543571761
PD_02_PD_15	-0.047102038566816384
PD_03_PD_15	6.344154312998285e-09
PD_04_PD_12	3.2362718686007597e-06
PD_04_PD_14	2.220446049250313e-16
PD_04_PD_15	2.3406125126967936e-07
PD_06_PD_14	2.220446049250313e-16
PD_07_PD_09	-1.6090623677911253e-07
PD_07_PD_10	-0.06205939199616428
PD_07_PD_11	-5.3270231226143494e-08
PD_07_PD_12	-0.0003736358268660034
PD_07_PD_13	-1.6076495923389444e-07
PD_07_PD_15	-2.2876974337115996e-05
PD_07_PD_16	-2.3118920680631483e-05
PD_07_PD_17	-3.817023360719318e-07
PD_07_PD_20	-1.9739160306286863e-09
PD_08_PD_14	0.013069937979482416
PD_10_PD_12	2.147788243145321e-06
PD_10_PD_15	-0.5088846121390642
PD_10_PD_19	-0.045045167082838566
PD_11_PD_12	-5.906109421083272e-06
PD_11_PD_15	-2.773168639169654e-07
PD_12_PD_14	3.391334076674468e-06
PD_12_PD_15	-0.03311944512232701
PD_12_PD_17	-1.1549875798655407e-05
PD_12_PD_19	-0.0010751881395116847
PD_12_PD_20	-9.953715918165074e-07
PD_15_PD_17	-4.836602196522932e-08
PD_15_PD_18	2.420062521490962e-07
PD_15_PD_20	-8.861633749024378e-08
