Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	0.0
PD_02_PD_05	0.05425395864132099
PD_02_PD_07	0.06686887944501074
PD_02_PD_12	0.0
PD_02_PD_15	0.09380815518053898
PD_03_PD_15	0.06950927965192533
PD_04_PD_12	0.0
PD_04_PD_14	0.0
PD_04_PD_15	-0.1410065418083718
PD_06_PD_14	0.0
PD_07_PD_09	7.587040671563905e-05
PD_07_PD_10	0.0
PD_07_PD_11	0.008285251836987473
PD_07_PD_12	0.0
PD_07_PD_13	0.0038202577875149357
PD_07_PD_15	-0.7175324030101972
PD_07_PD_16	-0.9007385804397774
PD_07_PD_17	0.0
PD_07_PD_20	2.796866531074027e-05
PD_08_PD_14	0.0
PD_10_PD_12	0.0
PD_10_PD_15	-0.029404692543589794
PD_10_PD_19	0.0
PD_11_PD_12	0.0
PD_11_PD_15	0.046670447563559314
PD_12_PD_14	0.0
PD_12_PD_15	0.0
PD_12_PD_17	0.0
PD_12_PD_19	0.0
PD_12_PD_20	0.0
PD_15_PD_17	0.0
PD_15_PD_18	0.12230589723079455
PD_15_PD_20	-0.06199614289553279
