,True Positive,True Negative,False Positive,False Negative,Total,Match,Mismatch,Match %,Mismatch %,Accuracy,Recall,Precision
CAL29,22,2,2,8,34,24,10,70.58823529411765,29.411764705882355,70.59,73.33,91.67
RT112,17,5,4,8,34,22,12,64.70588235294117,35.294117647058826,64.71,68.0,80.95
HT1197,5,9,1,7,22,14,8,63.63636363636363,36.36363636363637,63.64,41.67,83.33
TCCSUP,9,4,12,9,34,13,21,38.23529411764706,61.76470588235294,38.24,50.0,42.86
HT1376,11,4,12,7,34,15,19,44.11764705882353,55.88235294117647,44.12,61.11,47.83
639V,8,6,14,6,34,14,20,41.17647058823529,58.82352941176471,41.18,57.14,36.36
647V,14,3,4,13,34,17,17,50.0,50.0,50.0,51.85,77.78
DSH1,16,3,7,8,34,19,15,55.88235294117647,44.11764705882353,55.88,66.67,69.57
5637,15,3,8,8,34,18,16,52.94117647058824,47.05882352941176,52.94,65.22,65.22
SW780,7,12,2,13,34,19,15,55.88235294117647,44.11764705882353,55.88,35.0,77.78
KU1919,16,3,8,7,34,19,15,55.88235294117647,44.11764705882353,55.88,69.57,66.67
UMUC3,23,3,0,8,34,26,8,76.47058823529412,23.52941176470588,76.47,74.19,100.0
LB831BLC,14,3,6,11,34,17,17,50.0,50.0,50.0,56.0,70.0
SW1710,14,4,5,11,34,18,16,52.94117647058824,47.05882352941176,52.94,56.0,73.68
J82,17,4,4,9,34,21,13,61.76470588235294,38.23529411764706,61.76,65.38,80.95
BFTC905,20,1,1,12,34,21,13,61.76470588235294,38.23529411764706,61.76,62.5,95.24
RT4,7,7,1,19,34,14,20,41.17647058823529,58.82352941176471,41.18,26.92,87.5
VMCUB1,4,7,1,22,34,11,23,32.35294117647059,67.64705882352942,32.35,15.38,80.0
