,drug_combination,cell_line,synergy
0,AZD7762 + Cisplatin,5637,1.0
1,AZD7762 + MK-1775,5637,1.0
2,Lapatinib + Crizotinib,5637,1.0
3,Lapatinib + Dabrafenib,5637,0.0
4,Lapatinib + LGK974,5637,0.0
5,Lapatinib + Linsitinib,5637,1.0
6,Lapatinib + MK-2206,5637,1.0
7,Lapatinib + Navitoclax,5637,0.0
8,Lapatinib + PD173074,5637,1.0
9,Lapatinib + Palbociclib,5637,0.0
10,Lapatinib + Pictilisib,5637,1.0
11,Lapatinib + Taselisib,5637,1.0
12,Lapatinib + Trametinib,5637,0.0
13,MK-1775 + Cisplatin,5637,1.0
14,MK-1775 + Nutlin-3a (-),5637,1.0
15,MK-1775 + Pictilisib,5637,1.0
16,MK-2206 + OSI-027,5637,1.0
17,Navitoclax + Afatinib,5637,1.0
18,Navitoclax + Axitinib,5637,1.0
19,Navitoclax + Taselisib,5637,1.0
20,Navitoclax + Trametinib,5637,1.0
21,Nilotinib + Trametinib,5637,1.0
22,Olaparib + MK-1775,5637,1.0
23,Taselisib + Afatinib,5637,1.0
24,Taselisib + LGK974,5637,0.0
25,Taselisib + Linsitinib,5637,1.0
26,Taselisib + MK-2206,5637,1.0
27,Taselisib + Navitoclax,5637,1.0
28,Taselisib + OSI-027,5637,1.0
29,Taselisib + Olaparib,5637,0.0
30,Taselisib + Palbociclib,5637,0.0
31,Taselisib + Sapitinib,5637,1.0
32,Taselisib + Trametinib,5637,1.0
33,Trametinib + Afatinib,5637,1.0
34,Trametinib + LGK974,5637,0.0
35,Trametinib + Linsitinib,5637,0.0
36,Trametinib + MK-2206,5637,1.0
37,Trametinib + Navitoclax,5637,1.0
38,Trametinib + Olaparib,5637,0.0
39,Trametinib + Palbociclib,5637,0.0
40,Trametinib + Pictilisib,5637,1.0
41,Trametinib + SCH772984,5637,0.0
42,Trametinib + Taselisib,5637,1.0
43,AZD7762 + Cisplatin,639V,1.0
44,AZD7762 + MK-1775,639V,1.0
45,Lapatinib + Crizotinib,639V,0.0
46,Lapatinib + Dabrafenib,639V,1.0
47,Lapatinib + LGK974,639V,0.0
48,Lapatinib + Linsitinib,639V,0.0
49,Lapatinib + MK-2206,639V,1.0
50,Lapatinib + Navitoclax,639V,0.0
51,Lapatinib + PD173074,639V,0.0
52,Lapatinib + Palbociclib,639V,0.0
53,Lapatinib + Pictilisib,639V,0.0
54,Lapatinib + Taselisib,639V,0.0
55,Lapatinib + Trametinib,639V,0.0
56,MK-1775 + Cisplatin,639V,1.0
