,drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy,Perturbation,drug_combination,inhibitor_group_A,inhibitor_group_B,inhibitor_combination,targets_A,targets_B,target_combination
0,AZD7762,Cisplatin,PD_06,PD_01,5637,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
1,AZD7762,Cisplatin,PD_06,PD_01,639V,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
2,AZD7762,Cisplatin,PD_06,PD_01,647V,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
3,AZD7762,Cisplatin,PD_06,PD_01,BFTC905,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
4,AZD7762,Cisplatin,PD_06,PD_01,CAL29,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
5,AZD7762,Cisplatin,PD_06,PD_01,DSH1,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
6,AZD7762,Cisplatin,PD_06,PD_01,HT1197,0,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
7,AZD7762,Cisplatin,PD_06,PD_01,HT1376,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
8,AZD7762,Cisplatin,PD_06,PD_01,J82,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
9,AZD7762,Cisplatin,PD_06,PD_01,KU1919,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
10,AZD7762,Cisplatin,PD_06,PD_01,LB831BLC,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
11,AZD7762,Cisplatin,PD_06,PD_01,RT112,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
12,AZD7762,Cisplatin,PD_06,PD_01,RT4,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
13,AZD7762,Cisplatin,PD_06,PD_01,SW1710,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
14,AZD7762,Cisplatin,PD_06,PD_01,SW780,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
15,AZD7762,Cisplatin,PD_06,PD_01,TCCSUP,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
16,AZD7762,Cisplatin,PD_06,PD_01,UMUC3,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
17,AZD7762,Cisplatin,PD_06,PD_01,VMCUB1,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
18,MK-1775,Cisplatin,PD_14,PD_01,5637,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
19,MK-1775,Cisplatin,PD_14,PD_01,639V,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
20,MK-1775,Cisplatin,PD_14,PD_01,647V,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
21,MK-1775,Cisplatin,PD_14,PD_01,BFTC905,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
22,MK-1775,Cisplatin,PD_14,PD_01,CAL29,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
23,MK-1775,Cisplatin,PD_14,PD_01,DSH1,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
24,MK-1775,Cisplatin,PD_14,PD_01,HT1376,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
25,MK-1775,Cisplatin,PD_14,PD_01,J82,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
26,MK-1775,Cisplatin,PD_14,PD_01,KU1919,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
27,MK-1775,Cisplatin,PD_14,PD_01,LB831BLC,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
28,MK-1775,Cisplatin,PD_14,PD_01,RT112,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
29,MK-1775,Cisplatin,PD_14,PD_01,RT4,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
30,MK-1775,Cisplatin,PD_14,PD_01,SW1710,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
31,MK-1775,Cisplatin,PD_14,PD_01,SW780,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
32,MK-1775,Cisplatin,PD_14,PD_01,TCCSUP,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
33,MK-1775,Cisplatin,PD_14,PD_01,UMUC3,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
34,MK-1775,Cisplatin,PD_14,PD_01,VMCUB1,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
35,Trametinib,Navitoclax,PD_15,PD_02,5637,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
36,Trametinib,Navitoclax,PD_15,PD_02,639V,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
37,Trametinib,Navitoclax,PD_15,PD_02,647V,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
38,Trametinib,Navitoclax,PD_15,PD_02,BFTC905,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
39,Trametinib,Navitoclax,PD_15,PD_02,CAL29,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
40,Trametinib,Navitoclax,PD_15,PD_02,DSH1,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
41,Trametinib,Navitoclax,PD_15,PD_02,HT1376,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
42,Trametinib,Navitoclax,PD_15,PD_02,J82,0,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
43,Trametinib,Navitoclax,PD_15,PD_02,KU1919,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
44,Trametinib,Navitoclax,PD_15,PD_02,LB831BLC,0,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
45,Trametinib,Navitoclax,PD_15,PD_02,RT112,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
46,Trametinib,Navitoclax,PD_15,PD_02,RT4,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
47,Trametinib,Navitoclax,PD_15,PD_02,SW1710,0,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
48,Trametinib,Navitoclax,PD_15,PD_02,SW780,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
49,Trametinib,Navitoclax,PD_15,PD_02,TCCSUP,0,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
50,Trametinib,Navitoclax,PD_15,PD_02,UMUC3,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
51,Trametinib,Navitoclax,PD_15,PD_02,VMCUB1,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
52,Lapatinib,Navitoclax,PD_07,PD_02,5637,0,PD_07-PD_02,Lapatinib + Navitoclax,ErrBi,BCL2i,ErrBi + BCL2i,"['EGFR', 'ERBB2']","['BCL2', 'BCL2L1']","['EGFR', 'ERBB2'] + ['BCL2', 'BCL2L1']"
53,Lapatinib,Navitoclax,PD_07,PD_02,639V,0,PD_07-PD_02,Lapatinib + Navitoclax,ErrBi,BCL2i,ErrBi + BCL2i,"['EGFR', 'ERBB2']","['BCL2', 'BCL2L1']","['EGFR', 'ERBB2'] + ['BCL2', 'BCL2L1']"
54,Lapatinib,Navitoclax,PD_07,PD_02,647V,1,PD_07-PD_02,Lapatinib + Navitoclax,ErrBi,BCL2i,ErrBi + BCL2i,"['EGFR', 'ERBB2']","['BCL2', 'BCL2L1']","['EGFR', 'ERBB2'] + ['BCL2', 'BCL2L1']"
55,Lapatinib,Navitoclax,PD_07,PD_02,BFTC905,1,PD_07-PD_02,Lapatinib + Navitoclax,ErrBi,BCL2i,ErrBi + BCL2i,"['EGFR', 'ERBB2']","['BCL2', 'BCL2L1']","['EGFR', 'ERBB2'] + ['BCL2', 'BCL2L1']"
56,Lapatinib,Navitoclax,PD_07,PD_02,CAL29,1,PD_07-PD_02,Lapatinib + Navitoclax,ErrBi,BCL2i,ErrBi + BCL2i,"['EGFR', 'ERBB2']","['BCL2', 'BCL2L1']","['EGFR', 'ERBB2'] + ['BCL2', 'BCL2L1']"
