,inhibitor_combination,cell_line,synergy
0,ABL1i + MEKi,5637,1.0
1,AKTi + MTORi,5637,1.0
2,BCL2i + EGFRi,5637,1.0
3,BCL2i + ErrBi,5637,1.0
4,BCL2i + MEKi,5637,1.0
5,BCL2i + PI3Ki,5637,1.0
6,CHEKi + ATMa,5637,1.0
7,CHEKi + WEE1i,5637,1.0
8,ErrBi + AKTi,5637,1.0
9,ErrBi + BCL2i,5637,0.0
10,ErrBi + CDKi,5637,0.0
11,ErrBi + FGFRi,5637,1.0
12,ErrBi + IGFRi,5637,1.0
13,ErrBi + MEKi,5637,0.0
14,ErrBi + METi,5637,1.0
15,ErrBi + PI3Ki,5637,1.0
16,ErrBi + PORCNi,5637,0.0
17,ErrBi + RAFi,5637,0.0
18,MEKi + AKTi,5637,1.0
19,MEKi + BCL2i,5637,1.0
20,MEKi + CDKi,5637,0.0
21,MEKi + ERKi,5637,0.0
22,MEKi + ErrBi,5637,1.0
23,MEKi + IGFRi,5637,0.0
24,MEKi + PARPi,5637,0.0
25,MEKi + PI3Ki,5637,1.0
26,MEKi + PORCNi,5637,0.0
27,PARPi + WEE1i,5637,1.0
28,PI3Ki + AKTi,5637,1.0
29,PI3Ki + BCL2i,5637,1.0
30,PI3Ki + CDKi,5637,0.0
31,PI3Ki + ErrBi,5637,1.0
32,PI3Ki + IGFRi,5637,1.0
33,PI3Ki + MEKi,5637,1.0
34,PI3Ki + MTORi,5637,1.0
35,PI3Ki + PARPi,5637,0.0
36,PI3Ki + PORCNi,5637,0.0
37,WEE1i + ATMa,5637,1.0
38,WEE1i + MDM2i,5637,1.0
39,WEE1i + PI3Ki,5637,1.0
40,ABL1i + MEKi,639V,0.0
41,AKTi + MTORi,639V,1.0
42,BCL2i + EGFRi,639V,1.0
43,BCL2i + ErrBi,639V,0.0
44,BCL2i + MEKi,639V,0.0
45,BCL2i + PI3Ki,639V,0.0
46,CHEKi + ATMa,639V,1.0
47,CHEKi + WEE1i,639V,1.0
48,ErrBi + AKTi,639V,1.0
49,ErrBi + BCL2i,639V,0.0
50,ErrBi + CDKi,639V,0.0
51,ErrBi + FGFRi,639V,0.0
52,ErrBi + IGFRi,639V,0.0
53,ErrBi + MEKi,639V,0.0
54,ErrBi + METi,639V,0.0
55,ErrBi + PI3Ki,639V,0.0
56,ErrBi + PORCNi,639V,0.0
57,ErrBi + RAFi,639V,1.0
58,MEKi + AKTi,639V,0.0
59,MEKi + BCL2i,639V,1.0
60,MEKi + CDKi,639V,0.0
61,MEKi + ERKi,639V,0.0
62,MEKi + ErrBi,639V,1.0
63,MEKi + IGFRi,639V,0.0
64,MEKi + PARPi,639V,0.0
65,MEKi + PI3Ki,639V,1.0
66,MEKi + PORCNi,639V,0.0
67,PARPi + WEE1i,639V,1.0
68,PI3Ki + AKTi,639V,0.0
69,PI3Ki + BCL2i,639V,0.0
70,PI3Ki + CDKi,639V,0.0
71,PI3Ki + ErrBi,639V,1.0
72,PI3Ki + IGFRi,639V,1.0
73,PI3Ki + MEKi,639V,1.0
74,PI3Ki + MTORi,639V,0.0
75,PI3Ki + PARPi,639V,0.0
76,PI3Ki + PORCNi,639V,0.0
77,WEE1i + ATMa,639V,1.0
78,WEE1i + MDM2i,639V,1.0
79,WEE1i + PI3Ki,639V,0.0
80,ABL1i + MEKi,647V,1.0
81,AKTi + MTORi,647V,1.0
82,BCL2i + EGFRi,647V,1.0
83,BCL2i + ErrBi,647V,1.0
84,BCL2i + MEKi,647V,1.0
85,BCL2i + PI3Ki,647V,1.0
86,CHEKi + ATMa,647V,1.0
87,CHEKi + WEE1i,647V,1.0
88,ErrBi + AKTi,647V,1.0
89,ErrBi + BCL2i,647V,1.0
90,ErrBi + CDKi,647V,0.0
91,ErrBi + FGFRi,647V,1.0
92,ErrBi + IGFRi,647V,1.0
93,ErrBi + MEKi,647V,1.0
94,ErrBi + METi,647V,1.0
95,ErrBi + PI3Ki,647V,0.0
96,ErrBi + PORCNi,647V,1.0
97,ErrBi + RAFi,647V,0.0
98,MEKi + AKTi,647V,1.0
99,MEKi + BCL2i,647V,1.0
100,MEKi + CDKi,647V,0.0
101,MEKi + ERKi,647V,0.0
102,MEKi + ErrBi,647V,1.0
103,MEKi + IGFRi,647V,0.0
104,MEKi + PARPi,647V,1.0
105,MEKi + PI3Ki,647V,1.0
106,MEKi + PORCNi,647V,0.0
107,PARPi + WEE1i,647V,1.0
108,PI3Ki + AKTi,647V,0.0
109,PI3Ki + BCL2i,647V,1.0
110,PI3Ki + CDKi,647V,1.0
111,PI3Ki + ErrBi,647V,1.0
112,PI3Ki + IGFRi,647V,1.0
113,PI3Ki + MEKi,647V,1.0
114,PI3Ki + MTORi,647V,1.0
115,PI3Ki + PARPi,647V,1.0
116,PI3Ki + PORCNi,647V,1.0
117,WEE1i + ATMa,647V,1.0
118,WEE1i + MDM2i,647V,1.0
119,WEE1i + PI3Ki,647V,1.0
120,ABL1i + MEKi,BFTC905,1.0
121,AKTi + MTORi,BFTC905,1.0
122,BCL2i + EGFRi,BFTC905,1.0
123,BCL2i + ErrBi,BFTC905,1.0
124,BCL2i + MEKi,BFTC905,1.0
125,BCL2i + PI3Ki,BFTC905,1.0
126,CHEKi + ATMa,BFTC905,1.0
127,CHEKi + WEE1i,BFTC905,1.0
128,ErrBi + AKTi,BFTC905,1.0
129,ErrBi + BCL2i,BFTC905,1.0
130,ErrBi + CDKi,BFTC905,1.0
131,ErrBi + FGFRi,BFTC905,1.0
132,ErrBi + IGFRi,BFTC905,1.0
133,ErrBi + MEKi,BFTC905,1.0
134,ErrBi + METi,BFTC905,1.0
135,ErrBi + PI3Ki,BFTC905,1.0
136,ErrBi + PORCNi,BFTC905,1.0
137,ErrBi + RAFi,BFTC905,1.0
138,MEKi + AKTi,BFTC905,1.0
139,MEKi + BCL2i,BFTC905,1.0
140,MEKi + CDKi,BFTC905,1.0
141,MEKi + ERKi,BFTC905,1.0
142,MEKi + ErrBi,BFTC905,1.0
143,MEKi + IGFRi,BFTC905,1.0
144,MEKi + PARPi,BFTC905,0.0
145,MEKi + PI3Ki,BFTC905,1.0
146,MEKi + PORCNi,BFTC905,1.0
147,PARPi + WEE1i,BFTC905,1.0
148,PI3Ki + AKTi,BFTC905,1.0
149,PI3Ki + BCL2i,BFTC905,1.0
150,PI3Ki + CDKi,BFTC905,1.0
151,PI3Ki + ErrBi,BFTC905,1.0
152,PI3Ki + IGFRi,BFTC905,1.0
153,PI3Ki + MEKi,BFTC905,1.0
154,PI3Ki + MTORi,BFTC905,1.0
155,PI3Ki + PARPi,BFTC905,0.0
156,PI3Ki + PORCNi,BFTC905,1.0
157,WEE1i + ATMa,BFTC905,1.0
158,WEE1i + MDM2i,BFTC905,1.0
159,WEE1i + PI3Ki,BFTC905,1.0
160,ABL1i + MEKi,CAL29,1.0
161,AKTi + MTORi,CAL29,1.0
162,BCL2i + EGFRi,CAL29,1.0
163,BCL2i + ErrBi,CAL29,1.0
164,BCL2i + MEKi,CAL29,1.0
165,BCL2i + PI3Ki,CAL29,1.0
166,CHEKi + ATMa,CAL29,1.0
167,CHEKi + WEE1i,CAL29,1.0
168,ErrBi + AKTi,CAL29,1.0
169,ErrBi + BCL2i,CAL29,1.0
170,ErrBi + CDKi,CAL29,1.0
171,ErrBi + FGFRi,CAL29,1.0
172,ErrBi + IGFRi,CAL29,1.0
173,ErrBi + MEKi,CAL29,1.0
174,ErrBi + METi,CAL29,1.0
175,ErrBi + PI3Ki,CAL29,1.0
176,ErrBi + PORCNi,CAL29,0.0
177,ErrBi + RAFi,CAL29,1.0
178,MEKi + AKTi,CAL29,1.0
179,MEKi + BCL2i,CAL29,1.0
180,MEKi + CDKi,CAL29,1.0
181,MEKi + ERKi,CAL29,0.0
182,MEKi + ErrBi,CAL29,1.0
183,MEKi + IGFRi,CAL29,1.0
184,MEKi + PARPi,CAL29,1.0
185,MEKi + PI3Ki,CAL29,1.0
186,MEKi + PORCNi,CAL29,0.0
187,PARPi + WEE1i,CAL29,1.0
188,PI3Ki + AKTi,CAL29,0.0
189,PI3Ki + BCL2i,CAL29,1.0
190,PI3Ki + CDKi,CAL29,1.0
191,PI3Ki + ErrBi,CAL29,1.0
192,PI3Ki + IGFRi,CAL29,1.0
193,PI3Ki + MEKi,CAL29,1.0
194,PI3Ki + MTORi,CAL29,1.0
195,PI3Ki + PARPi,CAL29,1.0
196,PI3Ki + PORCNi,CAL29,1.0
197,WEE1i + ATMa,CAL29,1.0
198,WEE1i + MDM2i,CAL29,1.0
199,WEE1i + PI3Ki,CAL29,1.0
200,ABL1i + MEKi,DSH1,1.0
201,AKTi + MTORi,DSH1,1.0
202,BCL2i + EGFRi,DSH1,1.0
203,BCL2i + ErrBi,DSH1,1.0
204,BCL2i + MEKi,DSH1,1.0
205,BCL2i + PI3Ki,DSH1,1.0
206,CHEKi + ATMa,DSH1,1.0
207,CHEKi + WEE1i,DSH1,1.0
208,ErrBi + AKTi,DSH1,1.0
209,ErrBi + BCL2i,DSH1,1.0
210,ErrBi + CDKi,DSH1,1.0
211,ErrBi + FGFRi,DSH1,0.0
212,ErrBi + IGFRi,DSH1,1.0
213,ErrBi + MEKi,DSH1,0.0
214,ErrBi + METi,DSH1,1.0
215,ErrBi + PI3Ki,DSH1,1.0
216,ErrBi + PORCNi,DSH1,0.0
217,ErrBi + RAFi,DSH1,1.0
218,MEKi + AKTi,DSH1,1.0
219,MEKi + BCL2i,DSH1,1.0
220,MEKi + CDKi,DSH1,0.0
221,MEKi + ERKi,DSH1,0.0
