,cell_line,roc_auc,pr_auc,f1_score,n_positive,n_negative,pred_min
0,5637,0.7647058823529411,0.9048129964163514,0.8,17.0,8.0,-0.1116022360617284
1,639V,0.5882352941176472,0.4654855889724311,0.4,8.0,17.0,-0.0777470384955385
2,647V,0.4365079365079365,0.7205371084900071,0.6470588235294118,18.0,7.0,-0.4849866020062885
3,BFTC905,,,,,,
4,CAL29,0.5454545454545454,0.9059374239560303,0.9090909090909091,22.0,3.0,-0.2482266666167194
5,DSH1,0.7683823529411765,0.8834046306985228,0.8,17.0,8.0,-0.1026716451492326
6,HT1376,0.5064935064935066,0.4453266430539158,0.5333333333333333,11.0,14.0,-0.1041392445597664
7,HT1197,0.6666666666666666,0.6238095238095238,0.7058823529411765,7.0,9.0,-0.7425360844091864
8,J82,0.4920634920634921,0.7030675937409684,0.8108108108108109,18.0,7.0,-0.2696072347631063
9,KU1919,0.5466666666666666,0.7536228531816768,0.6666666666666666,15.0,10.0,-0.3794212802558446
10,LB831BLC,0.48897058823529416,0.7399862080650406,0.6285714285714286,17.0,8.0,-0.0695633091019761
11,RT112,0.6842105263157895,0.9058931860977892,0.7567567567567568,19.0,6.0,-0.0606153830608084
12,RT4,0.6726190476190477,0.9315650556628003,0.5517241379310345,21.0,4.0,-0.8509796117310058
13,SW1710,0.5178571428571428,0.8824710649489993,0.8,21.0,4.0,-0.5207711441175805
14,SW780,0.5416666666666667,0.6935816556276915,0.47619047619047616,13.0,12.0,-0.8462735921053139
15,TCCSUP,0.516025641025641,0.565531479390175,0.5,12.0,13.0,-0.2628647750464836
16,UMUC3,0.6847826086956521,0.9589124504695532,0.9090909090909091,23.0,2.0,-0.0687063854357176
17,VMCUB1,0.6190476190476191,0.8171652299941774,0.7647058823529411,18.0,7.0,-0.9007385804397774
