Mechanism A,Mechanism B,N. Predicted Pairs,Median Synergy,IQR,Mean Synergy,SD Synergy,N. Selected Pairs
AKT/MTOR,AKT/MTOR,3,0.0006,0.0194,0.0097,0.0218,3
DNA repair,Cell cycle,3,-0.0,0.0,-0.0004,0.0027,3
RTK,RTK,3,0.0001,0.0047,0.0034,0.0099,3
AKT/MTOR,MAPK,2,0.1943,0.2257,0.1942,0.1383,2
Apoptosis,RTK,2,0.0084,0.0473,0.0188,0.1069,2
DNA repair,MAPK,2,-0.0001,0.0348,-0.0003,0.0442,2
RTK,AKT/MTOR,2,0.0103,0.0308,0.0121,0.0364,2
RTK,MAPK,2,0.1032,0.3065,0.2095,0.2865,2
AKT/MTOR,Cell cycle,1,-0.0,0.0,0.0007,0.0076,1
AKT/MTOR,RTK,1,0.0,0.0,0.0007,0.0021,1
AKT/MTOR,WNT,1,0.0,0.0001,0.0004,0.0011,1
Apoptosis,AKT/MTOR,1,0.021,0.0525,0.032,0.0422,1
Apoptosis,Cell cycle,1,-0.0,0.0006,-0.0027,0.0102,1
Apoptosis,MAPK,1,0.003,0.1709,-0.0356,0.1237,1
Cell cycle,AKT/MTOR,1,0.0,0.0006,0.0031,0.0104,1
Cell cycle,MAPK,1,0.0,0.0087,-0.007,0.034,1
DNA repair,AKT/MTOR,1,-0.0,0.0006,-0.0019,0.0052,1
DNA repair,DNA repair,1,-0.0,0.0,-0.0021,0.0135,1
MAPK,MAPK,1,-0.0557,0.1679,-0.0863,0.09,1
MAPK,RTK,1,0.0,0.0005,0.0007,0.0021,1
MAPK,WNT,1,0.0001,0.0265,0.0114,0.0185,1
RTK,Cell cycle,1,0.0,0.0024,0.0037,0.0233,1
RTK,WNT,1,0.0,0.001,0.0011,0.0023,1
