Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	3.552713678800501e-15
PD_02_PD_05	-7.429399285063809e-05
PD_02_PD_07	-0.0021342358728995148
PD_02_PD_12	-0.05994780311031245
PD_02_PD_15	-0.04048642149954762
PD_03_PD_15	0.0
PD_04_PD_12	1.59594248910766e-05
PD_04_PD_14	3.552713678800501e-15
PD_04_PD_15	2.7545121183969457e-08
PD_06_PD_14	3.552713678800501e-15
PD_07_PD_09	-1.0535117618282186e-06
PD_07_PD_10	0.1581869869924779
PD_07_PD_11	-5.234600148895652e-07
PD_07_PD_12	-6.282482312547355e-05
PD_07_PD_13	-0.007887809763231446
PD_07_PD_15	-8.735831539263827e-06
PD_07_PD_16	-8.763434867220532e-06
PD_07_PD_17	-9.654864685515463e-10
PD_07_PD_20	-1.3817352151335172e-08
PD_08_PD_14	0.002157166719660486
PD_10_PD_12	9.717635373496236e-06
PD_10_PD_15	-0.43765269073129603
PD_10_PD_19	-0.024148428247567355
PD_11_PD_12	-9.588805781635124e-05
PD_11_PD_15	-1.6312453621214473e-07
PD_12_PD_14	9.833668917380578e-06
PD_12_PD_15	-0.010520664381527878
PD_12_PD_17	-8.305592444157739e-05
PD_12_PD_19	-0.007837076242038776
PD_12_PD_20	-1.8361428984703387e-05
PD_15_PD_17	-6.999521406925169e-09
PD_15_PD_18	2.76554730227474e-08
PD_15_PD_20	-1.5869958902570147e-08
