Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	1.2101430968414206e-14
PD_02_PD_05	0.005338264818950722
PD_02_PD_07	0.003924094947883594
PD_02_PD_12	-0.041492033741531764
PD_02_PD_15	-0.01174712869212069
PD_03_PD_15	2.220446049250313e-16
PD_04_PD_12	2.3275813786249877e-05
PD_04_PD_14	1.2101430968414206e-14
PD_04_PD_15	4.291719235549607e-08
PD_06_PD_14	1.2101430968414206e-14
PD_07_PD_09	-1.3118308719306526e-06
PD_07_PD_10	0.08621620323553036
PD_07_PD_11	-6.690403985265547e-07
PD_07_PD_12	-5.938841314301335e-05
PD_07_PD_13	-0.004393653593479985
PD_07_PD_15	-1.5921365251525543e-05
PD_07_PD_16	-1.596444393259233e-05
PD_07_PD_17	-3.0711178045095266e-10
PD_07_PD_20	-1.9167998188684976e-08
PD_08_PD_14	-0.007582797551155096
PD_10_PD_12	1.2003553518824539e-05
PD_10_PD_15	-0.26452446106968797
PD_10_PD_19	-0.005835434086436608
PD_11_PD_12	-0.0001333278071141697
PD_11_PD_15	-3.123239897817598e-07
PD_12_PD_14	1.2056963356599226e-05
PD_12_PD_15	-0.012096708572407522
PD_12_PD_17	-1.577640679706338e-05
PD_12_PD_19	-0.0031865555374918086
PD_12_PD_20	-1.9797041708402574e-05
PD_15_PD_17	-1.568295493470373e-10
PD_15_PD_18	4.320230706511552e-08
PD_15_PD_20	-2.2642495212110703e-08
