Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	2.220446049250313e-16
PD_02_PD_05	-0.0001646076640048344
PD_02_PD_07	-0.00036311303914404736
PD_02_PD_12	-0.0006702797650379733
PD_02_PD_15	-0.0004592890031478447
PD_03_PD_15	1.6586786388828045e-09
PD_04_PD_12	1.0148498708062448e-09
PD_04_PD_14	2.220446049250313e-16
PD_04_PD_15	1.8721116878950284e-09
PD_06_PD_14	2.220446049250313e-16
PD_07_PD_09	-2.254392783562764e-09
PD_07_PD_10	-0.0445503284278258
PD_07_PD_11	-9.384017229940866e-09
PD_07_PD_12	-9.948819220118033e-06
PD_07_PD_13	-2.254387676536851e-09
PD_07_PD_15	-1.4112416107936454e-06
PD_07_PD_16	-1.4131455233767909e-06
PD_07_PD_17	-7.067220253453854e-09
PD_07_PD_20	-1.7108647831776125e-11
PD_08_PD_14	-0.0020742123995302064
PD_10_PD_12	5.931803936931601e-10
PD_10_PD_15	-0.3750126595913019
PD_10_PD_19	-0.025206444115595694
PD_11_PD_12	-2.002705304926522e-07
PD_11_PD_15	-4.5471692911025485e-07
PD_12_PD_14	-6.879137592896711e-09
PD_12_PD_15	-0.006431601942162191
PD_12_PD_17	-2.11386472770414e-08
PD_12_PD_19	-8.025958565471836e-05
PD_12_PD_20	-6.760679793771374e-10
PD_15_PD_17	-1.150523954995819e-07
PD_15_PD_18	1.903918578349817e-09
PD_15_PD_20	-6.862788115569174e-10
