Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	1.5740964087740394e-11
PD_02_PD_05	-0.016027373562628844
PD_02_PD_07	-0.022158127577427966
PD_02_PD_12	-0.033008016039688726
PD_02_PD_15	-0.01684165635710433
PD_03_PD_15	0.00433002403023397
PD_04_PD_12	1.4185372184671863e-06
PD_04_PD_14	1.5740964087740394e-11
PD_04_PD_15	0.0007542707758587675
PD_06_PD_14	1.5740964087740394e-11
PD_07_PD_09	-0.005655167648126347
PD_07_PD_10	-0.07126752580522222
PD_07_PD_11	-0.00042626268483580976
PD_07_PD_12	-0.00031185546940881714
PD_07_PD_13	-0.005542625767316678
PD_07_PD_15	0.00035206751964744765
PD_07_PD_16	-0.09202204394157476
PD_07_PD_17	-3.739472805075472e-06
PD_07_PD_20	-0.0011613190914459004
PD_08_PD_14	-0.0006757568759796495
PD_10_PD_12	1.2538430941289036e-06
PD_10_PD_15	-0.6506608569912752
PD_10_PD_19	-0.03657665892224271
PD_11_PD_12	-1.5810517167813565e-05
PD_11_PD_15	0.00023150462285470574
PD_12_PD_14	-1.5612953019328302e-07
PD_12_PD_15	-0.03982478975853099
PD_12_PD_17	-5.4932166244636704e-06
PD_12_PD_19	-0.0008398161751428379
PD_12_PD_20	-4.800964014117781e-07
PD_15_PD_17	-0.001982228569345712
PD_15_PD_18	0.09099502409410443
PD_15_PD_20	-0.00014539120762413482
