Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	0.0
PD_02_PD_05	-0.2736652089819725
PD_02_PD_07	-0.38621161091257383
PD_02_PD_12	-0.01570143943052371
PD_02_PD_15	0.046146334485360346
PD_03_PD_15	0.0
PD_04_PD_12	2.4787227825839864e-10
PD_04_PD_14	0.0
PD_04_PD_15	-2.7298253962859675e-08
PD_06_PD_14	0.0
PD_07_PD_09	-0.004444663672380389
PD_07_PD_10	-0.009101381590106317
PD_07_PD_11	-0.0017965563563451248
PD_07_PD_12	-1.353074090748585e-05
PD_07_PD_13	-0.0043953386728956545
PD_07_PD_15	0.00041751772373010976
PD_07_PD_16	-0.7924330876981893
PD_07_PD_17	-4.4897825179912587e-07
PD_07_PD_20	-0.0006836705441163327
PD_08_PD_14	0.0
PD_10_PD_12	2.504183527207715e-10
PD_10_PD_15	-0.19997989147374343
PD_10_PD_19	-0.001264487775345935
PD_11_PD_12	-2.1423774976270238e-09
PD_11_PD_15	5.265411029464762e-06
PD_12_PD_14	0.0
PD_12_PD_15	-1.6035510724821123e-08
PD_12_PD_17	-2.220731154523037e-09
PD_12_PD_19	-1.8748647946376096e-06
PD_12_PD_20	-1.365910717865404e-10
PD_15_PD_17	-7.523725226166178e-09
PD_15_PD_18	0.15999999568773604
PD_15_PD_20	4.47709062129098e-07
