Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	0.0002053218664963552
PD_02_PD_05	-0.10013771422587492
PD_02_PD_07	-0.12225661916966468
PD_02_PD_12	-0.16231791184755862
PD_02_PD_15	-0.10074967669021084
PD_03_PD_15	0.0017924990048354683
PD_04_PD_12	0.031864783633427485
PD_04_PD_14	0.0002053218664963552
PD_04_PD_15	0.002846983220011423
PD_06_PD_14	0.00020509492285025743
PD_07_PD_09	-9.161714381589192e-05
PD_07_PD_10	-0.13827417555767568
PD_07_PD_11	0.0006173441954364645
PD_07_PD_12	0.027776717551226793
PD_07_PD_13	-0.10680074309095933
PD_07_PD_15	-0.014710328328474298
PD_07_PD_16	-0.018778750124299304
PD_07_PD_17	-0.001350210719681999
PD_07_PD_20	1.8798731680313985e-05
PD_08_PD_14	-0.004258702147079352
PD_10_PD_12	0.016444387393072135
PD_10_PD_15	-0.04992528232448851
PD_10_PD_19	0.016859046240604747
PD_11_PD_12	-0.01510716829650871
PD_11_PD_15	-0.0025126428722671568
PD_12_PD_14	-0.0031701257910721203
PD_12_PD_15	-0.12486569060369157
PD_12_PD_17	-0.010793417256761528
PD_12_PD_19	-0.09703805590538273
PD_12_PD_20	-0.006119108271683826
PD_15_PD_17	-0.0009049378203024316
PD_15_PD_18	0.004059386957101507
PD_15_PD_20	-0.0003469461051471834
