Perturbation	Excess
PD_01_PD_06	0.08823779121466002
PD_01_PD_14	0.05085625179990916
PD_02_PD_05	-0.09706473509742286
PD_02_PD_07	-0.15001631841389296
PD_02_PD_12	-0.13392393220887044
PD_02_PD_15	-0.2851434593911564
PD_04_PD_12	0.0
PD_04_PD_14	0.0
PD_04_PD_15	0.0
PD_06_PD_14	0.001078515666627089
PD_07_PD_09	-0.023037501383441517
PD_07_PD_10	-0.0680435433416956
PD_07_PD_11	-0.05155914437558684
PD_07_PD_12	-0.04549750396455143
PD_07_PD_13	-0.021372223171175153
PD_07_PD_15	-0.06049981249386149
PD_07_PD_16	-0.16309538257197165
PD_07_PD_17	0.0
PD_07_PD_20	-0.0045324476101044064
PD_08_PD_14	0.0
PD_10_PD_12	0.10754160850823846
PD_10_PD_15	-0.07499607464765967
PD_10_PD_19	-0.04710191908770189
PD_11_PD_12	-0.03552405722581364
PD_11_PD_15	-0.1485092815004796
PD_12_PD_14	-0.04781025559745666
PD_12_PD_15	-0.05625829750251754
PD_12_PD_17	0.0
PD_12_PD_19	-0.031776571153878996
PD_12_PD_20	-0.002831670518561924
PD_15_PD_17	0.0
PD_15_PD_18	0.12174391100997162
PD_15_PD_20	-0.04659867845092258
