Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	0.0
PD_02_PD_05	-0.03226772411139278
PD_02_PD_07	-0.01970450054153594
PD_02_PD_12	-0.0028120554556747557
PD_02_PD_15	0.1955733402597047
PD_03_PD_15	0.0036104461928698206
PD_04_PD_14	0.0
PD_06_PD_14	0.0
PD_07_PD_09	-0.0012466874653921378
PD_07_PD_10	0.0010384802158354134
PD_07_PD_11	-0.020101753936322853
PD_07_PD_12	-3.346454002794985e-09
PD_07_PD_13	-0.0011080082831831373
PD_07_PD_15	-0.0001436338581425889
PD_07_PD_16	-0.6989520432519971
PD_07_PD_17	0.0
PD_07_PD_20	-0.0001312192461340178
PD_08_PD_14	2.220446049250313e-16
PD_10_PD_12	0.0
PD_10_PD_15	-0.29977173855189393
PD_10_PD_19	-0.007733645213094831
PD_11_PD_12	-5.674009420675308e-05
PD_11_PD_15	0.0007205888055468179
PD_12_PD_14	0.0
PD_12_PD_15	-0.004682179142084186
PD_12_PD_17	0.0
PD_12_PD_19	-2.708674884388529e-08
PD_12_PD_20	-1.1102230246251565e-16
PD_15_PD_17	0.0
PD_15_PD_18	0.20993545603487448
PD_15_PD_20	-0.00017604163110107596
