Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	8.297526778411335e-05
PD_02_PD_05	-0.09211927135687947
PD_02_PD_07	-0.11646343965419559
PD_02_PD_12	-0.15073401585127222
PD_02_PD_15	-0.15595348156866906
PD_03_PD_15	0.0012684079617610866
PD_04_PD_12	0.0069501506105962285
PD_04_PD_14	8.309397962280585e-05
PD_04_PD_15	0.003996813813670119
PD_06_PD_14	8.312245884378733e-05
PD_07_PD_09	-0.005821610751431505
PD_07_PD_10	-0.02354937020235537
PD_07_PD_11	-0.0037714478462406165
PD_07_PD_12	-0.06192374102653475
PD_07_PD_13	-0.005313070662200103
PD_07_PD_15	-0.01702680804257961
PD_07_PD_16	-0.02225851256770628
PD_07_PD_17	-0.0024430651050739716
PD_07_PD_20	-0.0003892776960211508
PD_08_PD_14	-0.00399376566743459
PD_10_PD_12	0.005222906213641965
PD_10_PD_15	-0.15862686468670917
PD_10_PD_19	-0.01717932626273544
PD_11_PD_12	-0.008151713639374947
PD_11_PD_15	-0.003588642368373196
PD_12_PD_14	-0.0005562966438070749
PD_12_PD_15	-0.25329812363390725
PD_12_PD_17	-0.0026327737376006244
PD_12_PD_19	-0.0640359883604189
PD_12_PD_20	-0.0011791236927093385
PD_15_PD_17	-0.0018348438805324552
PD_15_PD_18	0.006030592798914269
PD_15_PD_20	-0.0005177862978521519
