Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	1.4432899320127035e-15
PD_02_PD_05	-0.00707074143434383
PD_02_PD_07	-0.011944549104703328
PD_02_PD_12	-0.020982806963372846
PD_02_PD_15	-0.01631463469828609
PD_03_PD_15	4.440776635306065e-10
PD_04_PD_12	3.546041349444806e-09
PD_04_PD_14	1.4432899320127035e-15
PD_04_PD_15	4.89393747749034e-10
PD_06_PD_14	1.4432899320127035e-15
PD_07_PD_09	-6.663782936566776e-08
PD_07_PD_10	-0.020569499084872933
PD_07_PD_11	-5.615323717123033e-08
PD_07_PD_12	-3.915147345712189e-05
PD_07_PD_13	-6.663771245918326e-08
PD_07_PD_15	-7.051097575816456e-07
PD_07_PD_16	-7.056045203679417e-07
PD_07_PD_17	-4.538789566410628e-09
PD_07_PD_20	-3.5972258505267973e-10
PD_08_PD_14	-0.0036882646448875844
PD_10_PD_12	1.8872016172011286e-09
PD_10_PD_15	-0.3108451877560987
PD_10_PD_19	-0.015744835391807266
PD_11_PD_12	-2.438944074478755e-07
PD_11_PD_15	-1.0648825821135688e-08
PD_12_PD_14	-1.3172729018684493e-08
PD_12_PD_15	-0.007791201051927765
PD_12_PD_17	-1.9856627453407327e-08
PD_12_PD_19	-8.829703355139884e-05
PD_12_PD_20	-2.2304004199114047e-09
PD_15_PD_17	-3.1806042577464666e-08
PD_15_PD_18	4.948917942115827e-10
PD_15_PD_20	-2.154690870170839e-10
