Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	2.3497648271586513e-11
PD_02_PD_05	-0.0029546186800240015
PD_02_PD_07	-0.005533490690865395
PD_02_PD_12	-0.058203990496828784
PD_02_PD_15	-0.007947972811700343
PD_03_PD_15	1.726761560072454e-06
PD_04_PD_12	0.00024103751478410373
PD_04_PD_14	2.351296934932634e-11
PD_04_PD_15	2.159128147605216e-06
PD_06_PD_14	2.351296934932634e-11
PD_07_PD_09	-8.99800909803794e-06
PD_07_PD_10	0.12066906742105965
PD_07_PD_11	-1.557258953166496e-05
PD_07_PD_12	-0.0006728304409064911
PD_07_PD_13	-0.0008590988112552322
PD_07_PD_15	-7.548121195100066e-05
PD_07_PD_16	-7.777836285383088e-05
PD_07_PD_17	-1.0588608878592254e-09
PD_07_PD_20	-2.400482445041874e-07
PD_08_PD_14	-0.0016819680807536042
PD_10_PD_12	9.762539350610666e-05
PD_10_PD_15	-0.3124206243356289
PD_10_PD_19	0.03174477620304328
PD_11_PD_12	-0.0008638004485336248
PD_11_PD_15	-1.4527562435584507e-05
PD_12_PD_14	-9.687108200295835e-05
PD_12_PD_15	-0.02823546778094621
PD_12_PD_17	-0.0016603040237682665
PD_12_PD_19	-0.017693314001175353
PD_12_PD_20	-9.65940704814594e-05
PD_15_PD_17	-1.4272188586517132e-07
PD_15_PD_18	2.303531296932171e-06
PD_15_PD_20	-6.079090659749653e-07
