Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	0.0
PD_02_PD_05	-0.03556803984227597
PD_02_PD_07	-0.04864870434359703
PD_02_PD_12	-0.04926123986363973
PD_02_PD_15	-0.07078509973497926
PD_03_PD_15	4.100173534027363e-09
PD_04_PD_12	1.1835691697825723e-06
PD_04_PD_14	0.0
PD_04_PD_15	6.076156680023814e-07
PD_06_PD_14	0.0
PD_07_PD_09	-3.0504553053534167e-06
PD_07_PD_10	-0.06424716520597706
PD_07_PD_11	-8.602117947953403e-07
PD_07_PD_12	-0.00020008385705838627
PD_07_PD_13	-3.0390177657713124e-06
PD_07_PD_15	-3.6019948090770804e-05
PD_07_PD_16	-3.659706623204695e-05
PD_07_PD_17	-9.368402447584856e-06
PD_07_PD_20	-1.227881643028894e-07
PD_08_PD_14	0.012097915418446625
PD_10_PD_12	8.378571817457825e-07
PD_10_PD_15	-0.527813890613836
PD_10_PD_19	-0.04467734914358201
PD_11_PD_12	-2.436859684595838e-06
PD_11_PD_15	-1.1304060980599218e-06
PD_12_PD_14	1.2271142947328784e-06
PD_12_PD_15	-0.030870048002293315
PD_12_PD_17	-5.003258854552328e-06
PD_12_PD_19	-0.0006468894034604711
PD_12_PD_20	-3.981186655899194e-07
PD_15_PD_17	-1.0533884459040799e-05
PD_15_PD_18	6.301391958229985e-07
PD_15_PD_20	-2.1809450245768858e-07
