Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	2.7665203461424426e-11
PD_02_PD_05	-0.005184816504464895
PD_02_PD_07	-0.008981138961166035
PD_02_PD_12	-0.03326250570172817
PD_02_PD_15	-0.01070483689698265
PD_03_PD_15	1.1941249716818092e-06
PD_04_PD_12	3.5567369335298693e-06
PD_04_PD_14	2.76667577736589e-11
PD_04_PD_15	1.4782160820958623e-06
PD_06_PD_14	2.76667577736589e-11
PD_07_PD_09	-5.422921400599634e-06
PD_07_PD_10	-0.05864451519163982
PD_07_PD_11	-3.7241445577373966e-06
PD_07_PD_12	-0.0008971108368110992
PD_07_PD_13	-5.420416070656131e-06
PD_07_PD_15	-8.576743952670718e-05
PD_07_PD_16	-8.733148016415448e-05
PD_07_PD_17	-6.525913076593781e-08
PD_07_PD_20	-1.0390129723258923e-07
PD_08_PD_14	-0.010642968137825393
PD_10_PD_12	2.4934620866945423e-06
PD_10_PD_15	-0.45817172269288886
PD_10_PD_19	-0.03772110382913496
PD_11_PD_12	-3.152077064105807e-05
PD_11_PD_15	-1.8238663349046114e-05
PD_12_PD_14	-1.0463463059329214e-06
PD_12_PD_15	-0.027631570204358358
PD_12_PD_17	-4.809906004932252e-06
PD_12_PD_19	-0.0017740435100626062
PD_12_PD_20	-1.348847256776864e-06
PD_15_PD_17	-3.2786141690444026e-08
PD_15_PD_18	1.5669292388054146e-06
PD_15_PD_20	-4.0128582501353094e-07
