Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	8.193445921733655e-14
PD_02_PD_05	-0.03233761468554419
PD_02_PD_07	-0.04450980844320762
PD_02_PD_12	-0.05064896115945583
PD_02_PD_15	-0.059639309283324504
PD_03_PD_15	2.3414110650321618e-09
PD_04_PD_12	7.782238359288485e-07
PD_04_PD_14	8.193445921733655e-14
PD_04_PD_15	3.328253935785952e-07
PD_06_PD_14	8.193445921733655e-14
PD_07_PD_09	-1.961645394232825e-06
PD_07_PD_10	-0.0929314524529562
PD_07_PD_11	-5.594797085617387e-07
PD_07_PD_12	-0.00017103647361449426
PD_07_PD_13	-1.956027376959213e-06
PD_07_PD_15	-1.819513881329282e-05
PD_07_PD_16	-1.8511454784264636e-05
PD_07_PD_17	-6.2959158027009465e-06
PD_07_PD_20	-7.364091292316743e-08
PD_08_PD_14	0.009345192790851886
PD_10_PD_12	5.822145090483843e-07
PD_10_PD_15	-0.5697564408617776
PD_10_PD_19	-0.06520260708073511
PD_11_PD_12	-2.360404652290704e-06
PD_11_PD_15	-5.750051668140799e-07
PD_12_PD_14	7.009766596066669e-07
PD_12_PD_15	-0.01855134613227538
PD_12_PD_17	-3.800862909741909e-06
PD_12_PD_19	-0.0006553088972204302
PD_12_PD_20	-2.7793696866229567e-07
PD_15_PD_17	-7.036651766600954e-06
PD_15_PD_18	3.4373856405700565e-07
PD_15_PD_20	-1.2262294235565463e-07
