Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	1.2615452009701045e-06
PD_02_PD_05	-0.0007399740329505078
PD_02_PD_07	-0.001216847885611494
PD_02_PD_12	-0.0015579234106702367
PD_02_PD_15	-0.0030072178101384073
PD_03_PD_15	0.10025286544416068
PD_04_PD_12	0.0005704075565233779
PD_04_PD_14	1.2615452009701045e-06
PD_04_PD_15	0.0003979582756755695
PD_06_PD_14	0.0
PD_07_PD_09	-0.0005725833809326897
PD_07_PD_10	-0.04020483436297517
PD_07_PD_11	-0.00906409570394795
PD_07_PD_12	-0.005081276870836815
PD_07_PD_13	-0.0005335358525498934
PD_07_PD_15	-0.0016012521346844277
PD_07_PD_16	-0.20206274077357034
PD_07_PD_17	-0.000830091008695466
PD_07_PD_20	-3.8762864943087116e-05
PD_08_PD_14	0.0
PD_10_PD_12	0.0007286055068177477
PD_10_PD_15	-0.7661201519243952
PD_10_PD_19	-0.03257344074589108
PD_11_PD_12	-0.004077902595039817
PD_11_PD_15	-0.019352515732920295
PD_12_PD_14	-2.9593501199132177e-05
PD_12_PD_15	-0.03187013291836094
PD_12_PD_17	-0.0007244816795508591
PD_12_PD_19	-0.014361144854403762
PD_12_PD_20	-0.00010244925553781759
PD_15_PD_17	-0.0011763645369853304
PD_15_PD_18	0.16035330380520063
PD_15_PD_20	-6.25938241416435e-05
