Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	3.8413716652030416e-14
PD_02_PD_12	-0.09272768474567372
PD_02_PD_15	-0.034415440031252076
PD_03_PD_15	3.518599855922844e-10
PD_04_PD_12	5.378510744868947e-05
PD_04_PD_14	3.8413716652030416e-14
PD_04_PD_15	2.151470771538655e-07
PD_06_PD_14	3.164135620181696e-14
PD_08_PD_14	0.025704025199167035
PD_10_PD_12	3.512586683762642e-05
PD_10_PD_15	-0.5367977213888173
PD_10_PD_19	-0.06410075778305602
PD_11_PD_12	-0.00034960379985538026
PD_11_PD_15	-3.0001895603426476e-06
PD_12_PD_14	3.6726047570878606e-05
PD_12_PD_15	-0.020047800685013217
PD_12_PD_17	-5.817704755572972e-05
PD_12_PD_19	-0.009511894894029371
PD_12_PD_20	-5.82197638013815e-05
PD_15_PD_17	-8.189910971623249e-09
PD_15_PD_18	2.2093396656597264e-07
PD_15_PD_20	-8.292113606866991e-08
