Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	2.220446049250313e-16
PD_02_PD_05	-0.00833932550145089
PD_02_PD_07	-0.003915768308652701
PD_02_PD_12	-0.027564413876340343
PD_02_PD_15	0.12158709240110288
PD_03_PD_15	0.016848139485594937
PD_04_PD_12	3.415618676783083e-09
PD_04_PD_14	2.220446049250313e-16
PD_04_PD_15	-0.04483925402637057
PD_06_PD_14	2.220446049250313e-16
PD_07_PD_09	-0.02140989076636035
PD_07_PD_10	-0.10035102199907531
PD_07_PD_11	-0.006659227597456963
PD_07_PD_12	-3.5352417646405954e-05
PD_07_PD_13	-0.020691871179797983
PD_07_PD_15	-0.038394253252676425
PD_07_PD_16	-0.23444054825900695
PD_07_PD_17	-2.461459891467399e-08
PD_07_PD_20	-0.004976997876289357
PD_08_PD_14	-0.00014288529383232884
PD_10_PD_12	3.1898886865278087e-09
PD_10_PD_15	-0.5843115707599987
PD_10_PD_19	-0.058678242961997196
PD_11_PD_12	-1.1567077773388945e-07
PD_11_PD_15	0.008814742597612946
PD_12_PD_14	-1.48157452972697e-09
PD_12_PD_15	-0.012593140278189696
PD_12_PD_17	-3.3738365656788005e-08
PD_12_PD_19	-0.00014017792789478012
PD_12_PD_20	-2.2291065659985065e-09
PD_15_PD_17	-3.803182814232642e-07
PD_15_PD_18	0.17080697044962334
PD_15_PD_20	-0.02858844448176978
