Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	3.8856362571948466e-10
PD_02_PD_05	-0.049238020539733474
PD_02_PD_07	-0.0663770855149064
PD_02_PD_12	-0.07749019728106321
PD_02_PD_15	-0.09521807750521283
PD_03_PD_15	3.2892056855970964e-09
PD_04_PD_12	1.7916620901226032e-05
PD_04_PD_14	3.8856362571948466e-10
PD_04_PD_15	2.7114142772122207e-06
PD_06_PD_14	3.8856362571948466e-10
PD_07_PD_09	-9.543451130900049e-05
PD_07_PD_10	-0.06940625914036458
PD_07_PD_11	-1.3533416749922367e-05
PD_07_PD_12	-0.0020160383596631304
PD_07_PD_13	-9.524830342644286e-05
PD_07_PD_15	-0.00015360470301839513
PD_07_PD_16	-0.00015611115512192963
PD_07_PD_17	-9.908444136841332e-06
PD_07_PD_20	-3.045824238046002e-06
PD_08_PD_14	-0.0018152797319357372
PD_10_PD_12	1.2172267603194342e-05
PD_10_PD_15	-0.47674214140940024
PD_10_PD_19	-0.048285498751171274
PD_11_PD_12	-3.483712082752444e-05
PD_11_PD_15	-2.7097878352311255e-06
PD_12_PD_14	1.0387125260580277e-05
PD_12_PD_15	-0.030264722854929316
PD_12_PD_17	-2.3536468211515782e-05
PD_12_PD_19	-0.002585065514918994
PD_12_PD_20	-5.472386026883491e-06
PD_15_PD_17	-2.5384915789405937e-06
PD_15_PD_18	2.8654434752750646e-06
PD_15_PD_20	-8.277283994884144e-07
