Perturbation	Excess
PD_01_PD_06	0.0
PD_01_PD_14	8.881784197001252e-16
PD_02_PD_05	-0.009826011971469262
PD_02_PD_07	-0.009409505610576407
PD_02_PD_12	-0.02038629897724642
PD_02_PD_15	0.06448633992627428
PD_03_PD_15	0.018381056359503156
PD_04_PD_12	8.093750891724483e-09
PD_04_PD_14	8.881784197001252e-16
PD_04_PD_15	-0.04226920335889761
PD_06_PD_14	8.881784197001252e-16
PD_07_PD_09	-0.011298956296537321
PD_07_PD_10	-0.03621280897259682
PD_07_PD_11	-0.0015421172423422114
PD_07_PD_12	-1.3639787722730112e-05
PD_07_PD_13	-0.011243777650908893
PD_07_PD_15	-0.04949127293259126
PD_07_PD_16	-0.3835777566096068
PD_07_PD_17	-3.380489665971709e-08
PD_07_PD_20	-0.0019199055791950803
PD_08_PD_14	-5.367035793413244e-05
PD_10_PD_12	7.861241657636242e-09
PD_10_PD_15	-0.5145460476388094
PD_10_PD_19	-0.017048658225853885
PD_11_PD_12	-2.8389478201606977e-07
PD_11_PD_15	0.008443519978816871
PD_12_PD_14	-1.3008903954059292e-09
PD_12_PD_15	-0.020747613607528748
PD_12_PD_17	-7.18770767349497e-08
PD_12_PD_19	-7.497111552701163e-05
PD_12_PD_20	-4.106159079420024e-09
PD_15_PD_17	-0.0005252347593102114
PD_15_PD_18	0.21384986649794585
PD_15_PD_20	-0.028736692441133638
