,True Positive,True Negative,False Positive,False Negative,Total,Match,Mismatch,Match %,Mismatch %,Accuracy,Recall,Precision
LS411N,23,2,2,7,34,25,9,73.52941176470588,26.47058823529412,73.53,76.67,92.0
NCIH716,15,5,10,4,34,20,14,58.82352941176471,41.17647058823529,58.82,78.95,60.0
SW48,13,5,4,12,34,18,16,52.94117647058824,47.05882352941176,52.94,52.0,76.47
SNU61,6,2,3,6,17,8,9,47.05882352941176,52.94117647058824,47.06,50.0,66.67
CCK81,23,3,2,6,34,26,8,76.47058823529412,23.52941176470588,76.47,79.31,92.0
SNUC5,18,4,6,6,34,22,12,64.70588235294117,35.294117647058826,64.71,75.0,75.0
SW1463,19,1,5,9,34,20,14,58.82352941176471,41.17647058823529,58.82,67.86,79.17
T84,17,3,7,7,34,20,14,58.82352941176471,41.17647058823529,58.82,70.83,70.83
SW620,11,5,12,6,34,16,18,47.05882352941176,52.94117647058824,47.06,64.71,47.83
DIFI,14,2,3,13,32,16,16,50.0,50.0,50.0,51.85,82.35
HCT116,14,4,4,12,34,18,16,52.94117647058824,47.05882352941176,52.94,53.85,77.78
SW948,13,2,3,16,34,15,19,44.11764705882353,55.88235294117647,44.12,44.83,81.25
SW626,11,2,12,9,34,13,21,38.23529411764706,61.76470588235294,38.24,55.0,47.83
SKCO1,3,12,2,17,34,15,19,44.11764705882353,55.88235294117647,44.12,15.0,60.0
GP5D,10,6,1,17,34,16,18,47.05882352941176,52.94117647058824,47.06,37.04,90.91
HT55,16,3,6,9,34,19,15,55.88235294117647,44.11764705882353,55.88,64.0,72.73
COLO678,4,17,5,8,34,21,13,61.76470588235294,38.23529411764706,61.76,33.33,44.44
SNUC1,7,4,5,17,33,11,22,33.33333333333333,66.66666666666666,33.33,29.17,58.33
HCC2998,22,2,3,7,34,24,10,70.58823529411765,29.411764705882355,70.59,75.86,88.0
C2BBE1,14,3,8,9,34,17,17,50.0,50.0,50.0,60.87,63.64
CL11,11,2,1,9,23,13,10,56.52173913043478,43.47826086956522,56.52,55.0,91.67
CW2,13,7,8,5,33,20,13,60.60606060606061,39.39393939393939,60.61,72.22,61.9
SNU175,7,7,5,4,23,14,9,60.86956521739131,39.130434782608695,60.87,63.64,58.33
CAR1,16,4,5,9,34,20,14,58.82352941176471,41.17647058823529,58.82,64.0,76.19
COLO205,12,5,8,9,34,17,17,50.0,50.0,50.0,57.14,60.0
CL40,17,5,6,6,34,22,12,64.70588235294117,35.294117647058826,64.71,73.91,73.91
RKO,20,2,4,8,34,22,12,64.70588235294117,35.294117647058826,64.71,71.43,83.33
SW1417,13,7,10,4,34,20,14,58.82352941176471,41.17647058823529,58.82,76.47,56.52
SW1116,8,3,3,20,34,11,23,32.35294117647059,67.64705882352942,32.35,28.57,72.73
LOVO,6,4,1,23,34,10,24,29.411764705882355,70.58823529411765,29.41,20.69,85.71
NCIH747,10,4,2,7,23,14,9,60.86956521739131,39.130434782608695,60.87,58.82,83.33
COLO320HSR,15,6,6,7,34,21,13,61.76470588235294,38.23529411764706,61.76,68.18,71.43
SNU407,17,1,2,6,26,18,8,69.23076923076923,30.76923076923077,69.23,73.91,89.47
SNUC2B,14,7,10,3,34,21,13,61.76470588235294,38.23529411764706,61.76,82.35,58.33
LS513,4,5,0,17,26,9,17,34.61538461538461,65.38461538461539,34.62,19.05,100.0
RCM1,15,3,8,8,34,18,16,52.94117647058824,47.05882352941176,52.94,65.22,65.22
HCT15,25,5,0,4,34,30,4,88.23529411764706,11.76470588235294,88.24,86.21,100.0
LS123,15,5,8,6,34,20,14,58.82352941176471,41.17647058823529,58.82,71.43,65.22
SW837,16,1,7,10,34,17,17,50.0,50.0,50.0,61.54,69.57
MDST8,3,5,2,16,26,8,18,30.76923076923077,69.23076923076923,30.77,15.79,60.0
KM12,17,5,6,6,34,22,12,64.70588235294117,35.294117647058826,64.71,73.91,73.91
LS180,16,6,2,10,34,22,12,64.70588235294117,35.294117647058826,64.71,61.54,88.89
HT29,17,4,5,8,34,21,13,61.76470588235294,38.23529411764706,61.76,68.0,77.27
