,drug_combination,cell_line,synergy
0,AZD7762 + Cisplatin,C2BBE1,1.0
1,AZD7762 + MK-1775,C2BBE1,1.0
2,Lapatinib + Crizotinib,C2BBE1,1.0
3,Lapatinib + Dabrafenib,C2BBE1,1.0
4,Lapatinib + LGK974,C2BBE1,0.0
5,Lapatinib + Linsitinib,C2BBE1,1.0
6,Lapatinib + MK-2206,C2BBE1,1.0
7,Lapatinib + Navitoclax,C2BBE1,1.0
8,Lapatinib + PD173074,C2BBE1,1.0
9,Lapatinib + Palbociclib,C2BBE1,0.0
10,Lapatinib + Pictilisib,C2BBE1,1.0
11,Lapatinib + Taselisib,C2BBE1,1.0
12,Lapatinib + Trametinib,C2BBE1,0.0
13,MK-1775 + Cisplatin,C2BBE1,1.0
14,MK-1775 + Nutlin-3a (-),C2BBE1,0.0
15,MK-1775 + Pictilisib,C2BBE1,1.0
16,MK-2206 + OSI-027,C2BBE1,1.0
17,Navitoclax + Afatinib,C2BBE1,1.0
18,Navitoclax + Axitinib,C2BBE1,0.0
19,Navitoclax + Taselisib,C2BBE1,1.0
20,Navitoclax + Trametinib,C2BBE1,1.0
21,Nilotinib + Trametinib,C2BBE1,1.0
22,Olaparib + MK-1775,C2BBE1,0.0
23,Taselisib + Afatinib,C2BBE1,1.0
24,Taselisib + LGK974,C2BBE1,0.0
25,Taselisib + Linsitinib,C2BBE1,1.0
26,Taselisib + MK-2206,C2BBE1,0.0
27,Taselisib + Navitoclax,C2BBE1,1.0
28,Taselisib + OSI-027,C2BBE1,0.0
29,Taselisib + Olaparib,C2BBE1,1.0
30,Taselisib + Palbociclib,C2BBE1,1.0
31,Taselisib + Sapitinib,C2BBE1,1.0
32,Taselisib + Trametinib,C2BBE1,1.0
33,Trametinib + Afatinib,C2BBE1,0.0
34,Trametinib + LGK974,C2BBE1,0.0
35,Trametinib + Linsitinib,C2BBE1,1.0
36,Trametinib + MK-2206,C2BBE1,1.0
37,Trametinib + Navitoclax,C2BBE1,1.0
38,Trametinib + Olaparib,C2BBE1,1.0
39,Trametinib + Palbociclib,C2BBE1,0.0
40,Trametinib + Pictilisib,C2BBE1,1.0
41,Trametinib + SCH772984,C2BBE1,1.0
42,Trametinib + Taselisib,C2BBE1,1.0
43,AZD7762 + Cisplatin,CAR1,1.0
44,AZD7762 + MK-1775,CAR1,1.0
45,Lapatinib + Crizotinib,CAR1,1.0
46,Lapatinib + Dabrafenib,CAR1,1.0
47,Lapatinib + LGK974,CAR1,0.0
48,Lapatinib + Linsitinib,CAR1,1.0
49,Lapatinib + MK-2206,CAR1,1.0
50,Lapatinib + Navitoclax,CAR1,1.0
51,Lapatinib + PD173074,CAR1,1.0
52,Lapatinib + Palbociclib,CAR1,0.0
53,Lapatinib + Pictilisib,CAR1,1.0
54,Lapatinib + Taselisib,CAR1,1.0
55,Lapatinib + Trametinib,CAR1,0.0
56,MK-1775 + Cisplatin,CAR1,1.0
57,MK-1775 + Nutlin-3a (-),CAR1,1.0
58,MK-1775 + Pictilisib,CAR1,1.0
59,MK-2206 + OSI-027,CAR1,1.0
60,Navitoclax + Afatinib,CAR1,1.0
61,Navitoclax + Axitinib,CAR1,1.0
62,Navitoclax + Taselisib,CAR1,1.0
63,Navitoclax + Trametinib,CAR1,1.0
64,Nilotinib + Trametinib,CAR1,0.0
65,Olaparib + MK-1775,CAR1,0.0
66,Taselisib + Afatinib,CAR1,1.0
67,Taselisib + LGK974,CAR1,1.0
68,Taselisib + Linsitinib,CAR1,1.0
69,Taselisib + MK-2206,CAR1,1.0
