,drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy,Perturbation,drug_combination,inhibitor_group_A,inhibitor_group_B,inhibitor_combination,targets_A,targets_B,target_combination
0,AZD7762,Cisplatin,PD_06,PD_01,C2BBE1,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
1,AZD7762,Cisplatin,PD_06,PD_01,CCK81,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
2,AZD7762,Cisplatin,PD_06,PD_01,CL11,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
3,AZD7762,Cisplatin,PD_06,PD_01,CL40,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
4,AZD7762,Cisplatin,PD_06,PD_01,COLO205,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
5,AZD7762,Cisplatin,PD_06,PD_01,COLO320HSR,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
6,AZD7762,Cisplatin,PD_06,PD_01,COLO678,0,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
7,AZD7762,Cisplatin,PD_06,PD_01,CW2,0,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
8,AZD7762,Cisplatin,PD_06,PD_01,CAR1,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
9,AZD7762,Cisplatin,PD_06,PD_01,DIFI,1,PD_06-PD_01,AZD7762 + Cisplatin,CHEKi,ATMa,CHEKi + ATMa,"['CHEK2', 'CHEK1']",['ATM'],"['CHEK2', 'CHEK1'] + ['ATM']"
