,inhibitor_combination,cell_line,synergy
0,ABL1i + MEKi,C2BBE1,1.0
1,AKTi + MTORi,C2BBE1,1.0
2,BCL2i + EGFRi,C2BBE1,0.0
3,BCL2i + ErrBi,C2BBE1,1.0
4,BCL2i + MEKi,C2BBE1,1.0
5,BCL2i + PI3Ki,C2BBE1,1.0
6,CHEKi + ATMa,C2BBE1,1.0
7,CHEKi + WEE1i,C2BBE1,1.0
8,ErrBi + AKTi,C2BBE1,1.0
9,ErrBi + BCL2i,C2BBE1,1.0
10,ErrBi + CDKi,C2BBE1,0.0
11,ErrBi + FGFRi,C2BBE1,1.0
12,ErrBi + IGFRi,C2BBE1,1.0
13,ErrBi + MEKi,C2BBE1,0.0
14,ErrBi + METi,C2BBE1,1.0
15,ErrBi + PI3Ki,C2BBE1,1.0
16,ErrBi + PORCNi,C2BBE1,0.0
17,ErrBi + RAFi,C2BBE1,1.0
18,MEKi + AKTi,C2BBE1,1.0
19,MEKi + BCL2i,C2BBE1,1.0
20,MEKi + CDKi,C2BBE1,0.0
21,MEKi + ERKi,C2BBE1,1.0
22,MEKi + ErrBi,C2BBE1,0.0
23,MEKi + IGFRi,C2BBE1,1.0
24,MEKi + PARPi,C2BBE1,1.0
25,MEKi + PI3Ki,C2BBE1,1.0
26,MEKi + PORCNi,C2BBE1,0.0
27,PARPi + WEE1i,C2BBE1,0.0
28,PI3Ki + AKTi,C2BBE1,0.0
29,PI3Ki + BCL2i,C2BBE1,1.0
30,PI3Ki + CDKi,C2BBE1,1.0
31,PI3Ki + ErrBi,C2BBE1,1.0
32,PI3Ki + IGFRi,C2BBE1,1.0
33,PI3Ki + MEKi,C2BBE1,1.0
34,PI3Ki + MTORi,C2BBE1,0.0
35,PI3Ki + PARPi,C2BBE1,1.0
36,PI3Ki + PORCNi,C2BBE1,0.0
37,WEE1i + ATMa,C2BBE1,1.0
38,WEE1i + MDM2i,C2BBE1,0.0
39,WEE1i + PI3Ki,C2BBE1,1.0
40,ABL1i + MEKi,CAR1,0.0
41,AKTi + MTORi,CAR1,1.0
42,BCL2i + EGFRi,CAR1,1.0
43,BCL2i + ErrBi,CAR1,1.0
44,BCL2i + MEKi,CAR1,1.0
45,BCL2i + PI3Ki,CAR1,1.0
46,CHEKi + ATMa,CAR1,1.0
47,CHEKi + WEE1i,CAR1,1.0
48,ErrBi + AKTi,CAR1,1.0
49,ErrBi + BCL2i,CAR1,1.0
50,ErrBi + CDKi,CAR1,0.0
51,ErrBi + FGFRi,CAR1,1.0
52,ErrBi + IGFRi,CAR1,1.0
53,ErrBi + MEKi,CAR1,0.0
54,ErrBi + METi,CAR1,1.0
55,ErrBi + PI3Ki,CAR1,1.0
56,ErrBi + PORCNi,CAR1,0.0
57,ErrBi + RAFi,CAR1,1.0
58,MEKi + AKTi,CAR1,1.0
59,MEKi + BCL2i,CAR1,1.0
60,MEKi + CDKi,CAR1,0.0
61,MEKi + ERKi,CAR1,0.0
62,MEKi + ErrBi,CAR1,1.0
63,MEKi + IGFRi,CAR1,1.0
64,MEKi + PARPi,CAR1,0.0
65,MEKi + PI3Ki,CAR1,1.0
66,MEKi + PORCNi,CAR1,0.0
67,PARPi + WEE1i,CAR1,0.0
68,PI3Ki + AKTi,CAR1,1.0
69,PI3Ki + BCL2i,CAR1,1.0
70,PI3Ki + CDKi,CAR1,1.0
71,PI3Ki + ErrBi,CAR1,1.0
72,PI3Ki + IGFRi,CAR1,1.0
73,PI3Ki + MEKi,CAR1,1.0
74,PI3Ki + MTORi,CAR1,1.0
75,PI3Ki + PARPi,CAR1,1.0
76,PI3Ki + PORCNi,CAR1,1.0
77,WEE1i + ATMa,CAR1,1.0
78,WEE1i + MDM2i,CAR1,1.0
79,WEE1i + PI3Ki,CAR1,1.0
80,ABL1i + MEKi,CCK81,1.0
81,AKTi + MTORi,CCK81,1.0
82,BCL2i + EGFRi,CCK81,1.0
83,BCL2i + ErrBi,CCK81,1.0
84,BCL2i + MEKi,CCK81,1.0
85,BCL2i + PI3Ki,CCK81,1.0
86,CHEKi + ATMa,CCK81,1.0
87,CHEKi + WEE1i,CCK81,1.0
88,ErrBi + AKTi,CCK81,1.0
89,ErrBi + BCL2i,CCK81,1.0
90,ErrBi + CDKi,CCK81,1.0
91,ErrBi + FGFRi,CCK81,1.0
92,ErrBi + IGFRi,CCK81,1.0
93,ErrBi + MEKi,CCK81,0.0
94,ErrBi + METi,CCK81,1.0
95,ErrBi + PI3Ki,CCK81,1.0
96,ErrBi + PORCNi,CCK81,1.0
97,ErrBi + RAFi,CCK81,1.0
98,MEKi + AKTi,CCK81,1.0
99,MEKi + BCL2i,CCK81,1.0
100,MEKi + CDKi,CCK81,1.0
101,MEKi + ERKi,CCK81,0.0
102,MEKi + ErrBi,CCK81,1.0
103,MEKi + IGFRi,CCK81,1.0
104,MEKi + PARPi,CCK81,1.0
105,MEKi + PI3Ki,CCK81,1.0
106,MEKi + PORCNi,CCK81,0.0
107,PARPi + WEE1i,CCK81,0.0
108,PI3Ki + AKTi,CCK81,0.0
109,PI3Ki + BCL2i,CCK81,1.0
