,True Positive,True Negative,False Positive,False Negative,Total,Match,Mismatch,Match %,Mismatch %,Accuracy,Recall,Precision
AKTi + MTORi,29,2,2,10,43,31,12,72.09302325581395,27.906976744186046,72.09,74.36,93.55
PI3Ki + WEE1i,13,5,5,20,43,18,25,41.86046511627907,58.139534883720934,41.86,39.39,72.22
PARPi + PI3Ki,0,21,0,21,42,21,21,50.0,50.0,50.0,0.0,0.0
PARPi + WEE1i,0,28,0,11,39,28,11,71.7948717948718,28.205128205128204,71.79,0.0,0.0
METi + RTPKi,26,1,4,8,39,27,12,69.23076923076923,30.76923076923077,69.23,76.47,86.67
AKTi + PI3Ki,0,24,0,19,43,24,19,55.81395348837209,44.18604651162791,55.81,0.0,0.0
BCL2i + EGFRi,26,0,2,11,39,26,13,66.66666666666666,33.33333333333333,66.67,70.27,92.86
PI3Ki + PORCNi,25,1,11,2,39,26,13,66.66666666666666,33.33333333333333,66.67,92.59,69.44
BCL2i + RTPKi,24,0,4,11,39,24,15,61.53846153846154,38.46153846153847,61.54,68.57,85.71
BCL2i + MEKi,20,2,3,17,42,22,20,52.38095238095239,47.61904761904761,52.38,54.05,86.96
FGFRi + RTPKi,36,0,2,1,39,36,3,92.3076923076923,7.6923076923076925,92.31,97.3,94.74
AKTi + RTPKi,25,2,1,11,39,27,12,69.23076923076923,30.76923076923077,69.23,69.44,96.15
IGFRi + RTPKi,24,1,7,7,39,25,14,64.1025641025641,35.8974358974359,64.1,77.42,77.42
PORCNi + RTPKi,5,1,29,1,36,6,30,16.666666666666664,83.33333333333334,16.67,83.33,14.71
CDKi + PI3Ki,27,2,7,7,43,29,14,67.44186046511628,32.55813953488372,67.44,79.41,79.41
MEKi + RTPKi,26,1,8,4,39,27,12,69.23076923076923,30.76923076923077,69.23,86.67,76.47
AKTi + MEKi,39,0,4,0,43,39,4,90.69767441860465,9.30232558139535,90.7,100.0,90.7
IGFRi + MEKi,26,1,8,8,43,27,16,62.7906976744186,37.2093023255814,62.79,76.47,76.47
MEKi + PI3Ki,37,0,1,5,43,37,6,86.04651162790698,13.953488372093023,86.05,88.1,97.37
CHEKi + WEE1i,0,1,0,42,43,1,42,2.3255813953488373,97.67441860465115,2.33,0.0,0.0
CDKi + RTPKi,7,4,22,6,39,11,28,28.205128205128204,71.7948717948718,28.21,53.85,24.14
IGFRi + PI3Ki,15,4,18,6,43,19,24,44.18604651162791,55.81395348837209,44.19,71.43,45.45
MEKi + PORCNi,15,4,20,0,39,19,20,48.717948717948715,51.28205128205128,48.72,100.0,42.86
MTORi + PI3Ki,30,3,5,5,43,33,10,76.74418604651163,23.25581395348837,76.74,85.71,85.71
RAFi + RTPKi,20,0,16,0,36,20,16,55.55555555555556,44.44444444444444,55.56,100.0,55.56
ATMa + WEE1i,0,5,0,38,43,5,38,11.627906976744185,88.37209302325581,11.63,0.0,0.0
ATMa + CHEKi,0,4,0,39,43,4,39,9.30232558139535,90.69767441860465,9.3,0.0,0.0
MDM2i + WEE1i,15,8,1,15,39,23,16,58.97435897435898,41.02564102564102,58.97,50.0,93.75
MAPKi + MEKi,0,33,0,6,39,33,6,84.61538461538461,15.384615384615385,84.62,0.0,0.0
ABL1i + MEKi,0,11,0,31,42,11,31,26.190476190476193,73.80952380952381,26.19,0.0,0.0
BCL2i + PI3Ki,31,1,3,8,43,32,11,74.4186046511628,25.581395348837212,74.42,79.49,91.18
MEKi + PARPi,13,8,4,17,42,21,21,50.0,50.0,50.0,43.33,76.47
PI3Ki + RTPKi,26,3,3,7,39,29,10,74.35897435897436,25.64102564102564,74.36,78.79,89.66
CDKi + MEKi,8,10,14,7,39,18,21,46.15384615384615,53.84615384615385,46.15,53.33,36.36
