,cell_line,roc_auc,pr_auc,f1_score,n_positive,n_negative,pred_min
0,C2BBE1,0.5772058823529412,0.8128327523421076,0.7368421052631579,17.0,8.0,-0.0599478031103124
1,CAR1,0.7103174603174603,0.9011388039670223,0.7777777777777778,18.0,7.0,-0.0414920337415317
2,CCK81,0.8154761904761905,0.959877605817504,0.9047619047619048,21.0,4.0,-0.0445503284278258
3,CL11,,,,,,
4,CL40,0.7399999999999999,0.7658426758426758,0.7428571428571429,15.0,10.0,-0.0920220439415747
5,COLO205,0.5576923076923077,0.6124604910140027,0.6470588235294118,13.0,12.0,-0.7924330876981893
6,COLO320HSR,0.5599999999999999,0.857624518313457,0.7222222222222222,20.0,5.0,-0.1623179118475586
7,COLO678,0.31746031746031744,0.23101873160331327,0.11764705882352941,7.0,18.0,-0.6724896334252009
8,CW2,,,,,,
9,DIFI,0.4464285714285715,0.845335695475447,0.8095238095238095,21.0,4.0,-0.6989520432519971
10,GP5D,0.5043859649122807,0.7656877706100524,0.6,19.0,6.0,-0.6052680776971129
11,HCC2998,0.61,0.8785829874441229,0.8292682926829268,20.0,5.0,-0.2532981236339072
12,HCT116,0.375,0.7441760603816399,0.6666666666666666,20.0,5.0,-0.210232961370142
13,HCT15,0.8452380952380952,0.9569834774984001,0.9523809523809523,21.0,4.0,-0.0209828069633728
14,HT29,0.7058823529411764,0.8792495057388996,0.7567567567567568,17.0,8.0,-0.2751566808365481
15,HT55,0.47222222222222227,0.7192142600373856,0.7692307692307693,18.0,7.0,-0.2827254954537959
16,KM12,0.5555555555555556,0.6626096135224424,0.7428571428571429,16.0,9.0,-0.0582039904968287
17,LOVO,0.5303030303030304,0.9121954454948005,0.8,22.0,3.0,-0.9149495039998948
18,LS123,0.7708333333333333,0.8272021370307017,0.8205128205128205,16.0,9.0,-0.0707850997349792
19,LS180,0.5394736842105263,0.7676211841358563,0.7777777777777778,19.0,6.0,-0.562011100823438
20,LS411N,0.8630952380952381,0.9730927636755189,0.9047619047619048,21.0,4.0,-0.0586445151916398
21,LS513,0.5208333333333333,0.8614997175489629,0.7586206896551724,16.0,3.0,-0.6808553925859923
22,MDST8,0.3,0.6530730550716176,0.2222222222222222,14.0,5.0,-0.5761697726269621
23,NCIH716,0.7597402597402598,0.8613567462558145,0.7027027027027027,14.0,11.0,-0.1008526240011362
24,NCIH747,,,,,,
25,RCM1,0.6360294117647058,0.7775071415853169,0.7894736842105263,17.0,8.0,-0.0929314524529562
26,RKO,0.57,0.7994883452012608,0.8571428571428571,20.0,5.0,-0.2020627407735703
27,SKCO1,0.4117647058823529,0.6343231616202407,0.6060606060606061,17.0,8.0,-0.936016951954859
28,SNU175,,,,,,
29,SNU407,0.058823529411764705,0.7996123279177367,0.8823529411764706,17.0,2.0,-0.0210290134045887
30,SNU61,,,,,,
31,SNUC1,0.390625,0.6624188311688312,0.8421052631578947,16.0,8.0,-0.98798638358002
32,SNUC2B,0.7275641025641025,0.7603984634349006,0.7272727272727273,13.0,12.0,-0.2344405482590069
33,SNUC5,0.701388888888889,0.7246782343029944,0.8108108108108109,16.0,9.0,-0.0952180775052128
34,SW1116,0.3114035087719298,0.7434489291977726,0.4827586206896552,19.0,6.0,-0.700190564777295
35,SW1417,0.7211538461538461,0.7114327801827802,0.6470588235294118,12.0,13.0,-0.2800223660051235
36,SW1463,0.40909090909090906,0.8995873313693676,0.8888888888888888,22.0,3.0,-0.3973682559925731
37,SW48,0.46031746031746035,0.7343685867048702,0.5806451612903226,18.0,7.0,-0.3840260530018541
38,SW620,0.8900000000000001,0.9127090301003343,0.5806451612903226,10.0,15.0,-0.069181140365343
39,SW626,0.5641025641025641,0.6416349890892226,0.6285714285714286,12.0,13.0,-0.1004710144143496
40,SW837,0.7904411764705882,0.9155084284353128,0.8,17.0,8.0,-0.0709022001549213
41,SW948,0.35119047619047616,0.7811880123151589,0.7027027027027027,21.0,4.0,-0.5505663469682733
42,T84,0.5515873015873016,0.7530146711081787,0.7894736842105263,18.0,7.0,-0.3835777566096068
