drug_name,target,node_targets,PD_profile
Cisplatin,"DNA crosslinker, ATM, ATR",['ATM'],PD_01
Navitoclax,"BCL2, BCL-XL, BCL-W, BCL2, BCL2L1, BCL2L2","['BCL2', 'BCL2L1']",PD_02
Nilotinib,"ABL, ABL1",['ABL1'],PD_03
Olaparib,"PARP1, PARP2, PARP1, PARP2",['PARP1'],PD_04
Axitinib,"PDGFR, KIT, VEGFR, FLT1, KIT, PDGFRA, PDGFRB",['EGFR'],PD_05
AZD7762,"CHEK1, CHEK2, CHEK1, CHEK2","['CHEK2', 'CHEK1']",PD_06
Afatinib,"EGFR, ERBB2, EGFR, ERBB2","['EGFR', 'ERBB2']",PD_07
Nutlin-3a (-),"MDM2, MDM2",['MDM2'],PD_08
PD173074,"FGFR1, FGFR2, FGFR3, FGFR1, FGFR2, FGFR3",['FGFR1'],PD_09
MK-2206,"AKT1, AKT2, AKT1, AKT2",['AKT1'],PD_10
Palbociclib,"CDK4, CDK6, CDK4, CDK6",['CyclinD_CDK4_6'],PD_11
Pictilisib,"PI3K (class 1), PIK3CA, PIK3CB, PIK3CD, PIK3CG",['PIK3CA'],PD_12
Crizotinib,"MET, ALK, ROS1, ALK, MET, ROS1",['MET'],PD_13
MK-1775,"WEE1, PLK1, WEE1, PLK1","['PLK1', 'WEE1']",PD_14
Trametinib,"MEK1, MEK2, MAP2K1, MAP2K2",['MEK_f'],PD_15
Dabrafenib,"BRAF, BRAF",['BRAF'],PD_16
Linsitinib,"IGF1R, IGF1R, INSR",['IGF1R'],PD_17
Sapitinib,"EGFR, ERBB2, ERBB3, EGFR, ERBB2, ERBB3","['EGFR', 'ERBB2']",PD_07
Lapatinib,"EGFR, ERBB2, EGFR, ERBB2","['EGFR', 'ERBB2']",PD_07
Taselisib,"PI3K (beta sparing), PIK3CA, PIK3CD, PIK3CG",['PIK3CA'],PD_12
SCH772984,"ERK1, ERK2, MAPK1, MAPK3",['ERK_f'],PD_18
OSI-027,"MTORC1, MTORC2, MTOR","['mTOR_c1', 'mTOR_c2']",PD_19
LGK974,"PORCN, PORCN",['PORCN'],PD_20
