drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy
AZD7762,Cisplatin,PD_06,PD_01,5637,1
AZD7762,Cisplatin,PD_06,PD_01,639V,1
AZD7762,Cisplatin,PD_06,PD_01,647V,1
AZD7762,Cisplatin,PD_06,PD_01,BFTC905,1
AZD7762,Cisplatin,PD_06,PD_01,CAL29,1
AZD7762,Cisplatin,PD_06,PD_01,DSH1,1
AZD7762,Cisplatin,PD_06,PD_01,HT1197,0
AZD7762,Cisplatin,PD_06,PD_01,HT1376,1
AZD7762,Cisplatin,PD_06,PD_01,J82,1
AZD7762,Cisplatin,PD_06,PD_01,KU1919,1
AZD7762,Cisplatin,PD_06,PD_01,LB831BLC,1
AZD7762,Cisplatin,PD_06,PD_01,RT112,1
AZD7762,Cisplatin,PD_06,PD_01,RT4,1
AZD7762,Cisplatin,PD_06,PD_01,SW1710,1
AZD7762,Cisplatin,PD_06,PD_01,SW780,1
AZD7762,Cisplatin,PD_06,PD_01,TCCSUP,1
AZD7762,Cisplatin,PD_06,PD_01,UMUC3,1
AZD7762,Cisplatin,PD_06,PD_01,VMCUB1,1
MK-1775,Cisplatin,PD_14,PD_01,5637,1
MK-1775,Cisplatin,PD_14,PD_01,639V,1
MK-1775,Cisplatin,PD_14,PD_01,647V,1
MK-1775,Cisplatin,PD_14,PD_01,BFTC905,1
MK-1775,Cisplatin,PD_14,PD_01,CAL29,1
MK-1775,Cisplatin,PD_14,PD_01,DSH1,1
MK-1775,Cisplatin,PD_14,PD_01,HT1376,1
MK-1775,Cisplatin,PD_14,PD_01,J82,1
MK-1775,Cisplatin,PD_14,PD_01,KU1919,1
MK-1775,Cisplatin,PD_14,PD_01,LB831BLC,1
MK-1775,Cisplatin,PD_14,PD_01,RT112,1
MK-1775,Cisplatin,PD_14,PD_01,RT4,1
MK-1775,Cisplatin,PD_14,PD_01,SW1710,1
MK-1775,Cisplatin,PD_14,PD_01,SW780,1
MK-1775,Cisplatin,PD_14,PD_01,TCCSUP,1
MK-1775,Cisplatin,PD_14,PD_01,UMUC3,1
MK-1775,Cisplatin,PD_14,PD_01,VMCUB1,1
Trametinib,Navitoclax,PD_15,PD_02,5637,1
Trametinib,Navitoclax,PD_15,PD_02,639V,1
Trametinib,Navitoclax,PD_15,PD_02,647V,1
Trametinib,Navitoclax,PD_15,PD_02,BFTC905,1
Trametinib,Navitoclax,PD_15,PD_02,CAL29,1
Trametinib,Navitoclax,PD_15,PD_02,DSH1,1
Trametinib,Navitoclax,PD_15,PD_02,HT1376,1
Trametinib,Navitoclax,PD_15,PD_02,J82,0
Trametinib,Navitoclax,PD_15,PD_02,KU1919,1
Trametinib,Navitoclax,PD_15,PD_02,LB831BLC,0
Trametinib,Navitoclax,PD_15,PD_02,RT112,1
Trametinib,Navitoclax,PD_15,PD_02,RT4,1
Trametinib,Navitoclax,PD_15,PD_02,SW1710,0
Trametinib,Navitoclax,PD_15,PD_02,SW780,1
Trametinib,Navitoclax,PD_15,PD_02,TCCSUP,0
Trametinib,Navitoclax,PD_15,PD_02,UMUC3,1
Trametinib,Navitoclax,PD_15,PD_02,VMCUB1,1
Lapatinib,Navitoclax,PD_07,PD_02,5637,0
Lapatinib,Navitoclax,PD_07,PD_02,639V,0
Lapatinib,Navitoclax,PD_07,PD_02,647V,1
Lapatinib,Navitoclax,PD_07,PD_02,BFTC905,1
Lapatinib,Navitoclax,PD_07,PD_02,CAL29,1
