drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy
AZD7762,Cisplatin,PD_06,PD_01,C2BBE1,1
AZD7762,Cisplatin,PD_06,PD_01,CCK81,1
AZD7762,Cisplatin,PD_06,PD_01,CL11,1
AZD7762,Cisplatin,PD_06,PD_01,CL40,1
AZD7762,Cisplatin,PD_06,PD_01,COLO205,1
AZD7762,Cisplatin,PD_06,PD_01,COLO320HSR,1
AZD7762,Cisplatin,PD_06,PD_01,COLO678,0
AZD7762,Cisplatin,PD_06,PD_01,CW2,0
AZD7762,Cisplatin,PD_06,PD_01,CAR1,1
AZD7762,Cisplatin,PD_06,PD_01,DIFI,1
AZD7762,Cisplatin,PD_06,PD_01,GP5D,1
AZD7762,Cisplatin,PD_06,PD_01,HCC2998,1
AZD7762,Cisplatin,PD_06,PD_01,HCT116,0
AZD7762,Cisplatin,PD_06,PD_01,HCT15,1
AZD7762,Cisplatin,PD_06,PD_01,HT29,1
AZD7762,Cisplatin,PD_06,PD_01,HT55,1
AZD7762,Cisplatin,PD_06,PD_01,KM12,1
AZD7762,Cisplatin,PD_06,PD_01,LS123,1
AZD7762,Cisplatin,PD_06,PD_01,LS180,1
AZD7762,Cisplatin,PD_06,PD_01,LS411N,1
AZD7762,Cisplatin,PD_06,PD_01,LS513,1
AZD7762,Cisplatin,PD_06,PD_01,LOVO,1
AZD7762,Cisplatin,PD_06,PD_01,MDST8,1
AZD7762,Cisplatin,PD_06,PD_01,NCIH716,1
AZD7762,Cisplatin,PD_06,PD_01,NCIH747,1
AZD7762,Cisplatin,PD_06,PD_01,RCM1,1
AZD7762,Cisplatin,PD_06,PD_01,RKO,1
AZD7762,Cisplatin,PD_06,PD_01,SKCO1,1
AZD7762,Cisplatin,PD_06,PD_01,SNU175,0
AZD7762,Cisplatin,PD_06,PD_01,SNU407,1
AZD7762,Cisplatin,PD_06,PD_01,SNU61,1
AZD7762,Cisplatin,PD_06,PD_01,SNUC1,1
AZD7762,Cisplatin,PD_06,PD_01,SNUC2B,1
AZD7762,Cisplatin,PD_06,PD_01,SNUC5,1
AZD7762,Cisplatin,PD_06,PD_01,SW1116,1
AZD7762,Cisplatin,PD_06,PD_01,SW1417,1
AZD7762,Cisplatin,PD_06,PD_01,SW1463,1
AZD7762,Cisplatin,PD_06,PD_01,SW48,1
