,True Positive,True Negative,False Positive,False Negative,Total,Match,Mismatch,Match %,Mismatch %,Accuracy,Recall,Precision
CL11,3,2,5,1,11,5,6,45.45454545454545,54.54545454545454,45.45,75.0,37.5
SW837,4,2,2,3,11,6,5,54.54545454545454,45.45454545454545,54.55,57.14,66.67
SW1116,5,2,4,0,11,7,4,63.63636363636363,36.36363636363637,63.64,100.0,55.56
CAR1,9,0,1,1,11,9,2,81.81818181818183,18.181818181818183,81.82,90.0,90.0
C2BBE1,7,2,2,0,11,9,2,81.81818181818183,18.181818181818183,81.82,100.0,77.78
T84,8,0,0,3,11,8,3,72.72727272727273,27.27272727272727,72.73,72.73,100.0
SW948,9,2,0,0,11,11,0,100.0,0.0,100.0,100.0,100.0
HT115,5,1,5,0,11,6,5,54.54545454545454,45.45454545454545,54.55,100.0,50.0
SNU81,7,0,2,2,11,7,4,63.63636363636363,36.36363636363637,63.64,77.78,77.78
NCIH747,6,2,1,2,11,8,3,72.72727272727273,27.27272727272727,72.73,75.0,85.71
SW1463,5,2,4,0,11,7,4,63.63636363636363,36.36363636363637,63.64,100.0,55.56
SW1417,6,3,2,0,11,9,2,81.81818181818183,18.181818181818183,81.82,100.0,75.0
NCIH716,7,2,1,1,11,9,2,81.81818181818183,18.181818181818183,81.82,87.5,87.5
NCIH508,9,1,1,0,11,10,1,90.9090909090909,9.090909090909092,90.91,100.0,90.0
SW620,4,3,2,2,11,7,4,63.63636363636363,36.36363636363637,63.64,66.67,66.67
