,True Positive,True Negative,False Positive,False Negative,Total,Match,Mismatch,Match %,Mismatch %,Accuracy,Recall,Precision
AKTi + mTORi,12,0,2,1,15,12,3,80.0,20.0,80.0,92.31,85.71
CHEKi + PARPi,0,11,0,4,15,11,4,73.33333333333333,26.666666666666668,73.33,0.0,0.0
CHEKi + CyclinDi,1,7,7,0,15,8,7,53.333333333333336,46.666666666666664,53.33,100.0,12.5
CyclinDi + mTORi,7,0,8,0,15,7,8,46.666666666666664,53.333333333333336,46.67,100.0,46.67
AKTi + EGFRi,12,0,2,1,15,12,3,80.0,20.0,80.0,92.31,85.71
EGFRi + mTORi,10,2,0,3,15,12,3,80.0,20.0,80.0,76.92,100.0
BCL2L1i + mTORi,12,0,3,0,15,12,3,80.0,20.0,80.0,100.0,80.0
ERKi + mTORi,15,0,0,0,15,15,0,100.0,0.0,100.0,100.0,100.0
CHEKi + Wee1i,6,3,1,5,15,9,6,60.0,40.0,60.0,54.55,85.71
CHEKi + MAPKi,4,1,9,1,15,5,10,33.33333333333333,66.66666666666666,33.33,80.0,30.77
BCL2i + mTORi,15,0,0,0,15,15,0,100.0,0.0,100.0,100.0,100.0
