,cell_line,roc_auc,pr_auc,f1_score,n_positive,n_negative,pred_min
0,C2BBE1,0.8927125506072874,0.921232420626465,0.7450980392156863,19.0,13.0,-0.5155952926594614
1,CAR1,0.867816091954023,0.9853756157635469,0.9508196721311475,29.0,3.0,-0.624606786455427
2,CL11,0.7242063492063492,0.7372023809523809,0.6086956521739131,14.0,18.0,-0.3443612574017237
3,HT115,0.7734375,0.7811622587938378,0.6666666666666666,16.0,16.0,-1.223406354909344
4,NCIH508,0.9107142857142857,0.9859693877551021,0.9333333333333333,28.0,4.0,-1.1694432247644184
5,NCIH716,0.8255208333333334,0.9195679594528279,0.8571428571428571,24.0,8.0,-0.7359255515204535
6,NCIH747,0.7369791666666666,0.9010416666666667,0.8571428571428571,24.0,8.0,-0.3576215557460367
7,SNU81,0.53125,0.7987330377955378,0.8571428571428571,24.0,8.0,-0.6262077522187264
8,SW620,0.646484375,0.5710078983516483,0.6666666666666666,16.0,16.0,-0.468207275166231
9,SW837,0.5863636363636363,0.7392676767676767,0.8148148148148148,22.0,10.0,-0.2304504168475114
10,SW948,0.9070512820512822,0.9704994314053018,0.896551724137931,26.0,6.0,-1.174534770494562
11,SW1116,0.7064777327935223,0.5906613629285694,0.5777777777777777,13.0,19.0,-0.9799557921040026
12,SW1417,0.7627450980392158,0.6437619398145713,0.6382978723404256,15.0,17.0,-0.3666290836565544
13,SW1463,0.7078431372549019,0.6775072257463898,0.6938775510204082,17.0,15.0,-0.8801524895562065
14,T84,,,,,,
