Perturbation	Ensemble average response
[PD_01]	1.8742841263891945
[PD_02]	1.626208075161638
[PD_03]	1.5659770420619419
[PD_04]	1.957041015625
[PD_05]	1.6811980170172613
[PD_06]	1.6913527382744684
[PD_07]	1.3490261996749544
[PD_08]	1.819510701497396
[PD_09]	2.0
[PD_10]	1.0
[PD_11]	2.0
[PD_12]	1.847175089518229
[PD_13]	0.9312125651041666
[PD_14]	2.0
[PD_15]	1.603509521484375
[PD_16]	0.0
[PD_17]	1.9825555419921874
[PD_18]	1.986949462890625
[PD_19]	1.964185782358156
[PD_20]	1.6036367349691325
[PD_21]	1.6036367349691325
[PD_01]-[PD_02]	1.626208075161638
[PD_01]-[PD_03]	1.5659771510532925
[PD_01]-[PD_04]	1.8186830332581425
[PD_01]-[PD_05]	1.4597562333227883
[PD_01]-[PD_06]	1.6913527382744684
[PD_01]-[PD_07]	1.1308310705286857
[PD_01]-[PD_08]	1.626208075161638
[PD_01]-[PD_09]	1.8659867760088804
[PD_01]-[PD_10]	0.8820590704259738
[PD_01]-[PD_11]	1.9570792643229167
[PD_01]-[PD_12]	1.6283121243329115
[PD_01]-[PD_13]	0.7639737733652894
[PD_01]-[PD_14]	1.8769668794014085
[PD_01]-[PD_15]	1.471012061750385
[PD_01]-[PD_16]	-0.07639778164071097
[PD_01]-[PD_17]	1.8623289726149868
[PD_01]-[PD_18]	1.8942982848261443
[PD_01]-[PD_19]	1.8675094842910767
[PD_01]-[PD_20]	1.380512732585878
[PD_01]-[PD_21]	1.380512732585878
[PD_02]-[PD_03]	1.5236919948032923
[PD_02]-[PD_04]	1.6008879562904095
[PD_02]-[PD_05]	1.0052834065755207
[PD_02]-[PD_06]	1.6913527382744684
[PD_02]-[PD_07]	0.44586695353190103
[PD_02]-[PD_08]	1.626208075161638
[PD_02]-[PD_09]	1.626208075161638
[PD_02]-[PD_10]	0.6769053492052802
[PD_02]-[PD_11]	1.257238260904948
[PD_02]-[PD_12]	1.285100371262123
[PD_02]-[PD_13]	0.5813865924703664
[PD_02]-[PD_14]	1.633227749528556
[PD_02]-[PD_15]	1.2310702619881466
[PD_02]-[PD_16]	-0.24806102884226833
[PD_02]-[PD_17]	1.5578700624663255
[PD_02]-[PD_18]	1.6256730704471982
[PD_02]-[PD_19]	1.5921079462224788
[PD_02]-[PD_20]	0.8620455932617187
[PD_02]-[PD_21]	0.8620455932617187
[PD_03]-[PD_04]	1.5052650451660157
[PD_03]-[PD_05]	0.8977783203125
[PD_03]-[PD_06]	1.6108695873315784
[PD_03]-[PD_07]	0.347222417195638
[PD_03]-[PD_08]	1.5236919948032923
[PD_03]-[PD_09]	1.5659770420619419
[PD_03]-[PD_10]	0.6242857251848494
[PD_03]-[PD_11]	1.050381786418411
[PD_03]-[PD_12]	1.1431747436523438
[PD_03]-[PD_13]	0.4516974040440151
[PD_03]-[PD_14]	1.5728222438267299
[PD_03]-[PD_15]	1.1632020132882255
[PD_03]-[PD_16]	-0.27190167563302176
[PD_03]-[PD_17]	1.5418804713657923
[PD_03]-[PD_18]	1.550949968610491
[PD_03]-[PD_19]	1.5430826234423425
[PD_03]-[PD_20]	0.7619933573404948
