Perturbation	Synergies	Non-synergies
[PD_01]-[PD_02]	0	142
[PD_01]-[PD_03]	0	137
[PD_01]-[PD_04]	8	134
[PD_01]-[PD_05]	35	104
[PD_01]-[PD_06]	0	141
[PD_01]-[PD_07]	26	102
[PD_01]-[PD_08]	16	126
[PD_01]-[PD_09]	4	135
[PD_01]-[PD_10]	19	123
[PD_01]-[PD_11]	3	72
[PD_01]-[PD_12]	28	114
[PD_01]-[PD_13]	41	101
[PD_01]-[PD_14]	3	139
[PD_01]-[PD_15]	20	122
[PD_01]-[PD_16]	14	128
[PD_01]-[PD_17]	8	134
[PD_01]-[PD_18]	4	138
[PD_01]-[PD_19]	0	128
[PD_01]-[PD_20]	44	84
[PD_01]-[PD_21]	44	84
[PD_02]-[PD_03]	3	137
[PD_02]-[PD_04]	7	138
[PD_02]-[PD_05]	97	46
[PD_02]-[PD_06]	0	144
[PD_02]-[PD_07]	106	28
[PD_02]-[PD_08]	0	145
[PD_02]-[PD_09]	0	142
[PD_02]-[PD_10]	59	86
[PD_02]-[PD_11]	31	36
[PD_02]-[PD_12]	58	87
[PD_02]-[PD_13]	74	71
[PD_02]-[PD_14]	3	142
[PD_02]-[PD_15]	50	95
[PD_02]-[PD_16]	53	92
[PD_02]-[PD_17]	24	121
[PD_02]-[PD_18]	16	129
[PD_02]-[PD_19]	3	127
[PD_02]-[PD_20]	103	35
[PD_02]-[PD_21]	103	35
[PD_03]-[PD_04]	18	122
[PD_03]-[PD_05]	91	47
[PD_03]-[PD_06]	3	135
[PD_03]-[PD_07]	100	29
[PD_03]-[PD_08]	8	132
[PD_03]-[PD_09]	0	137
[PD_03]-[PD_10]	43	97
[PD_03]-[PD_11]	19	26
[PD_03]-[PD_12]	61	79
[PD_03]-[PD_13]	71	69
[PD_03]-[PD_14]	3	137
[PD_03]-[PD_15]	42	98
[PD_03]-[PD_16]	44	96
[PD_03]-[PD_17]	11	129
[PD_03]-[PD_18]	17	123
[PD_03]-[PD_19]	0	119
[PD_03]-[PD_20]	95	38
[PD_03]-[PD_21]	95	38
[PD_04]-[PD_05]	18	130
[PD_04]-[PD_06]	5	139
[PD_04]-[PD_07]	25	111
[PD_04]-[PD_08]	4	146
[PD_04]-[PD_09]	2	145
[PD_04]-[PD_10]	15	135
[PD_04]-[PD_11]	14	83
[PD_04]-[PD_12]	7	143
[PD_04]-[PD_13]	4	146
[PD_04]-[PD_14]	0	150
[PD_04]-[PD_15]	11	139
[PD_04]-[PD_16]	16	134
[PD_04]-[PD_17]	18	132
[PD_04]-[PD_18]	1	149
[PD_04]-[PD_19]	3	138
[PD_04]-[PD_20]	18	125
[PD_04]-[PD_21]	18	125
[PD_05]-[PD_06]	84	58
[PD_05]-[PD_07]	0	137
[PD_05]-[PD_08]	54	94
[PD_05]-[PD_09]	55	90
[PD_05]-[PD_10]	68	80
[PD_05]-[PD_11]	47	49
[PD_05]-[PD_12]	60	88
[PD_05]-[PD_13]	79	69
[PD_05]-[PD_14]	7	141
[PD_05]-[PD_15]	50	98
[PD_05]-[PD_16]	73	75
[PD_05]-[PD_17]	12	136
[PD_05]-[PD_18]	38	110
[PD_05]-[PD_19]	2	139
[PD_05]-[PD_20]	0	143
[PD_05]-[PD_21]	0	143
[PD_06]-[PD_07]	84	49
[PD_06]-[PD_08]	0	144
[PD_06]-[PD_09]	0	141
[PD_06]-[PD_10]	44	100
[PD_06]-[PD_11]	19	48
[PD_06]-[PD_12]	44	100
[PD_06]-[PD_13]	70	74
[PD_06]-[PD_14]	1	141
[PD_06]-[PD_15]	37	107
