Perturbation	Synergies	Non-synergies
[PD_01]-[PD_02]	0	129
[PD_01]-[PD_03]	0	129
[PD_01]-[PD_04]	3	126
[PD_01]-[PD_05]	31	97
[PD_01]-[PD_06]	0	127
[PD_01]-[PD_07]	14	67
[PD_01]-[PD_08]	16	113
[PD_01]-[PD_09]	2	124
[PD_01]-[PD_10]	28	101
[PD_01]-[PD_11]	0	0
[PD_01]-[PD_12]	16	113
[PD_01]-[PD_13]	26	103
[PD_01]-[PD_14]	1	128
[PD_01]-[PD_15]	13	116
[PD_01]-[PD_16]	26	103
[PD_01]-[PD_17]	4	125
[PD_01]-[PD_18]	5	124
[PD_01]-[PD_19]	0	99
[PD_01]-[PD_20]	30	62
[PD_01]-[PD_21]	30	62
[PD_02]-[PD_03]	0	142
[PD_02]-[PD_04]	2	140
[PD_02]-[PD_05]	79	63
[PD_02]-[PD_06]	0	140
[PD_02]-[PD_07]	49	32
[PD_02]-[PD_08]	0	142
[PD_02]-[PD_09]	0	139
[PD_02]-[PD_10]	57	85
[PD_02]-[PD_11]	0	0
[PD_02]-[PD_12]	37	105
[PD_02]-[PD_13]	57	85
[PD_02]-[PD_14]	3	139
[PD_02]-[PD_15]	29	113
[PD_02]-[PD_16]	57	85
[PD_02]-[PD_17]	26	116
[PD_02]-[PD_18]	16	126
[PD_02]-[PD_19]	0	108
[PD_02]-[PD_20]	77	41
[PD_02]-[PD_21]	77	41
[PD_03]-[PD_04]	9	133
[PD_03]-[PD_05]	84	58
[PD_03]-[PD_06]	0	140
[PD_03]-[PD_07]	52	29
[PD_03]-[PD_08]	4	138
[PD_03]-[PD_09]	0	139
[PD_03]-[PD_10]	55	87
[PD_03]-[PD_11]	0	0
[PD_03]-[PD_12]	34	108
[PD_03]-[PD_13]	55	87
[PD_03]-[PD_14]	3	139
[PD_03]-[PD_15]	25	117
[PD_03]-[PD_16]	55	87
[PD_03]-[PD_17]	16	126
[PD_03]-[PD_18]	16	126
[PD_03]-[PD_19]	0	108
[PD_03]-[PD_20]	79	39
[PD_03]-[PD_21]	79	39
[PD_04]-[PD_05]	8	142
[PD_04]-[PD_06]	0	140
[PD_04]-[PD_07]	7	76
[PD_04]-[PD_08]	0	150
[PD_04]-[PD_09]	0	147
[PD_04]-[PD_10]	9	141
[PD_04]-[PD_11]	0	0
[PD_04]-[PD_12]	2	148
[PD_04]-[PD_13]	1	149
[PD_04]-[PD_14]	3	147
[PD_04]-[PD_15]	5	145
[PD_04]-[PD_16]	9	141
[PD_04]-[PD_17]	15	135
[PD_04]-[PD_18]	0	150
[PD_04]-[PD_19]	0	119
[PD_04]-[PD_20]	10	116
[PD_04]-[PD_21]	10	116
[PD_05]-[PD_06]	70	70
[PD_05]-[PD_07]	0	85
[PD_05]-[PD_08]	53	97
[PD_05]-[PD_09]	12	135
[PD_05]-[PD_10]	54	96
[PD_05]-[PD_11]	0	0
[PD_05]-[PD_12]	33	117
[PD_05]-[PD_13]	54	96
[PD_05]-[PD_14]	6	144
[PD_05]-[PD_15]	20	130
[PD_05]-[PD_16]	57	93
[PD_05]-[PD_17]	11	139
[PD_05]-[PD_18]	20	130
[PD_05]-[PD_19]	3	116
[PD_05]-[PD_20]	0	126
[PD_05]-[PD_21]	0	126
[PD_06]-[PD_07]	41	39
[PD_06]-[PD_08]	0	140
[PD_06]-[PD_09]	0	137
[PD_06]-[PD_10]	43	96
[PD_06]-[PD_11]	0	0
[PD_06]-[PD_12]	33	107
[PD_06]-[PD_13]	50	90
[PD_06]-[PD_14]	1	138
[PD_06]-[PD_15]	26	114
[PD_06]-[PD_16]	47	93
[PD_06]-[PD_17]	11	129
[PD_06]-[PD_18]	10	130
[PD_06]-[PD_19]	0	106
[PD_06]-[PD_20]	71	45
[PD_06]-[PD_21]	71	45
[PD_07]-[PD_08]	28	57
[PD_07]-[PD_09]	12	70
[PD_07]-[PD_10]	42	43
[PD_07]-[PD_11]	0	0
[PD_07]-[PD_12]	23	62
[PD_07]-[PD_13]	38	47
[PD_07]-[PD_14]	8	77
[PD_07]-[PD_15]	18	67
[PD_07]-[PD_16]	50	35
[PD_07]-[PD_17]	0	85
[PD_07]-[PD_18]	19	66
[PD_07]-[PD_19]	0	60
[PD_07]-[PD_20]	0	85
[PD_07]-[PD_21]	0	85
[PD_08]-[PD_09]	0	147
[PD_08]-[PD_10]	41	109
[PD_08]-[PD_11]	0	0
[PD_08]-[PD_12]	21	129
[PD_08]-[PD_13]	34	116
[PD_08]-[PD_14]	3	147
[PD_08]-[PD_15]	16	134
[PD_08]-[PD_16]	37	113
[PD_08]-[PD_17]	18	132
[PD_08]-[PD_18]	14	136
[PD_08]-[PD_19]	1	118
[PD_08]-[PD_20]	50	76
[PD_08]-[PD_21]	50	76
[PD_09]-[PD_10]	0	147
[PD_09]-[PD_11]	0	0
[PD_09]-[PD_12]	2	145
[PD_09]-[PD_13]	2	145
[PD_09]-[PD_14]	0	147
[PD_09]-[PD_15]	2	145
[PD_09]-[PD_16]	0	147
[PD_09]-[PD_17]	1	146
[PD_09]-[PD_18]	0	147
[PD_09]-[PD_19]	0	116
[PD_09]-[PD_20]	11	112
[PD_09]-[PD_21]	11	112
[PD_10]-[PD_11]	0	0
[PD_10]-[PD_12]	27	123
[PD_10]-[PD_13]	130	20
[PD_10]-[PD_14]	0	150
[PD_10]-[PD_15]	62	88
[PD_10]-[PD_16]	0	150
[PD_10]-[PD_17]	15	135
[PD_10]-[PD_18]	4	146
[PD_10]-[PD_19]	11	108
[PD_10]-[PD_20]	71	55
[PD_10]-[PD_21]	71	55
[PD_11]-[PD_12]	0	0
[PD_11]-[PD_13]	0	0
