Perturbation	Response excess over subset
[PD_01]-[PD_02]	0.0
[PD_01]-[PD_03]	0.0
[PD_01]-[PD_04]	-0.033950579607928244
[PD_01]-[PD_05]	-0.3478197076905236
[PD_01]-[PD_06]	0.0
[PD_01]-[PD_07]	-0.2659363776372681
[PD_01]-[PD_08]	-0.17708570288602643
[PD_01]-[PD_09]	-0.01585471212482159
[PD_01]-[PD_10]	-0.20518521909360532
[PD_01]-[PD_11]	0.0
[PD_01]-[PD_12]	-0.33743625217013884
[PD_01]-[PD_13]	-0.1712798224555121
[PD_01]-[PD_14]	-0.0024690981264468004
[PD_01]-[PD_15]	-0.21737373634620938
[PD_01]-[PD_16]	-0.12537920344758918
[PD_01]-[PD_17]	-0.0073432074652777235
[PD_01]-[PD_18]	-0.06490026403356475
[PD_01]-[PD_19]	-0.053161381305233846
[PD_01]-[PD_20]	-0.41170474458037354
[PD_01]-[PD_21]	-0.41170474458037354
[PD_02]-[PD_03]	-0.00119051252092639
[PD_02]-[PD_04]	-0.02499999999999991
[PD_02]-[PD_05]	-0.6652303973347152
[PD_02]-[PD_06]	0.0
[PD_02]-[PD_07]	-0.6192917607411617
[PD_02]-[PD_08]	0.0
[PD_02]-[PD_09]	0.0
[PD_02]-[PD_10]	-0.3289287022181919
[PD_02]-[PD_11]	-0.5818332586073338
[PD_02]-[PD_12]	-0.3703807285853795
[PD_02]-[PD_13]	-0.2915522257486979
[PD_02]-[PD_14]	-0.0011734008789061612
[PD_02]-[PD_15]	-0.3808249119349887
[PD_02]-[PD_16]	-0.23437925301847004
[PD_02]-[PD_17]	-0.0332577296665737
[PD_02]-[PD_18]	-0.07027348109654019
[PD_02]-[PD_19]	-0.08674485342843186
[PD_02]-[PD_20]	-0.6685085617286572
[PD_02]-[PD_21]	-0.6685085617286572
[PD_03]-[PD_04]	-0.02976194109235486
[PD_03]-[PD_05]	-0.6883218279987777
[PD_03]-[PD_06]	0.0
[PD_03]-[PD_07]	-0.6207062759185706
[PD_03]-[PD_08]	-0.00119051252092639
[PD_03]-[PD_09]	0.0
[PD_03]-[PD_10]	-0.32154769897460933
[PD_03]-[PD_11]	-0.6246068954467774
[PD_03]-[PD_12]	-0.40132239205496667
[PD_03]-[PD_13]	-0.3183379400344122
[PD_03]-[PD_14]	-0.0021258762904576844
[PD_03]-[PD_15]	-0.38986410958426343
