Perturbation	Synergies	Non-synergies
[PD_01]-[PD_02]	0	135
[PD_01]-[PD_03]	0	135
[PD_01]-[PD_04]	4	131
[PD_01]-[PD_05]	51	80
[PD_01]-[PD_06]	0	134
[PD_01]-[PD_07]	31	81
[PD_01]-[PD_08]	11	124
[PD_01]-[PD_09]	6	127
[PD_01]-[PD_10]	26	109
[PD_01]-[PD_11]	0	16
[PD_01]-[PD_12]	27	108
[PD_01]-[PD_13]	26	109
[PD_01]-[PD_14]	1	134
[PD_01]-[PD_15]	22	113
[PD_01]-[PD_16]	20	115
[PD_01]-[PD_17]	9	126
[PD_01]-[PD_18]	4	131
[PD_01]-[PD_19]	0	107
[PD_01]-[PD_20]	61	58
[PD_01]-[PD_21]	61	58
[PD_02]-[PD_03]	0	140
[PD_02]-[PD_04]	4	136
[PD_02]-[PD_05]	84	53
[PD_02]-[PD_06]	0	139
[PD_02]-[PD_07]	61	51
[PD_02]-[PD_08]	0	140
[PD_02]-[PD_09]	0	140
[PD_02]-[PD_10]	46	94
[PD_02]-[PD_11]	0	16
[PD_02]-[PD_12]	40	100
[PD_02]-[PD_13]	46	94
[PD_02]-[PD_14]	2	138
[PD_02]-[PD_15]	33	107
[PD_02]-[PD_16]	40	100
[PD_02]-[PD_17]	23	117
[PD_02]-[PD_18]	12	128
[PD_02]-[PD_19]	0	109
[PD_02]-[PD_20]	91	37
[PD_02]-[PD_21]	91	37
[PD_03]-[PD_04]	5	135
[PD_03]-[PD_05]	88	49
[PD_03]-[PD_06]	0	139
[PD_03]-[PD_07]	65	47
[PD_03]-[PD_08]	0	140
[PD_03]-[PD_09]	0	140
[PD_03]-[PD_10]	43	97
[PD_03]-[PD_11]	0	14
[PD_03]-[PD_12]	45	95
[PD_03]-[PD_13]	48	92
[PD_03]-[PD_14]	2	138
[PD_03]-[PD_15]	34	106
[PD_03]-[PD_16]	39	101
[PD_03]-[PD_17]	16	124
[PD_03]-[PD_18]	14	126
[PD_03]-[PD_19]	0	107
[PD_03]-[PD_20]	94	34
[PD_03]-[PD_21]	94	34
[PD_04]-[PD_05]	27	120
[PD_04]-[PD_06]	3	136
[PD_04]-[PD_07]	26	93
[PD_04]-[PD_08]	1	149
[PD_04]-[PD_09]	1	149
[PD_04]-[PD_10]	5	145
[PD_04]-[PD_11]	0	18
[PD_04]-[PD_12]	2	148
[PD_04]-[PD_13]	1	149
[PD_04]-[PD_14]	0	150
[PD_04]-[PD_15]	7	143
[PD_04]-[PD_16]	5	145
[PD_04]-[PD_17]	16	134
[PD_04]-[PD_18]	0	150
[PD_04]-[PD_19]	0	124
[PD_04]-[PD_20]	32	106
[PD_04]-[PD_21]	32	106
[PD_05]-[PD_06]	65	71
[PD_05]-[PD_07]	0	119
[PD_05]-[PD_08]	42	105
[PD_05]-[PD_09]	41	106
[PD_05]-[PD_10]	83	64
[PD_05]-[PD_11]	10	8
[PD_05]-[PD_12]	69	78
