Perturbation	Response excess over subset
[PD_01]-[PD_02]	0.0
[PD_01]-[PD_03]	0.0
[PD_01]-[PD_04]	-0.028395024052372708
[PD_01]-[PD_05]	-0.45209114968239716
[PD_01]-[PD_06]	0.0
[PD_01]-[PD_07]	-0.44973717435933663
[PD_01]-[PD_08]	-0.5078588838930485
[PD_01]-[PD_09]	-0.20942719344454708
[PD_01]-[PD_10]	-0.35008817319516783
[PD_01]-[PD_11]	-0.050486955343827855
[PD_01]-[PD_12]	-0.23378251424350216
[PD_01]-[PD_13]	-0.29014002482096357
[PD_01]-[PD_14]	-0.016092145001446845
[PD_01]-[PD_15]	-0.42806084526909727
[PD_01]-[PD_16]	-0.2738733477091444
[PD_01]-[PD_17]	-0.029744240089699003
[PD_01]-[PD_18]	-0.07432761568570112
[PD_01]-[PD_19]	0.0
[PD_01]-[PD_20]	-0.44352495809577863
[PD_01]-[PD_21]	-0.44352495809577863
[PD_02]-[PD_03]	-0.003086443300600372
[PD_02]-[PD_04]	-0.011574074074073959
[PD_02]-[PD_05]	-0.6068920305040146
[PD_02]-[PD_06]	0.0
[PD_02]-[PD_07]	-1.1627598294344814
[PD_02]-[PD_08]	0.0
[PD_02]-[PD_09]	0.0
[PD_02]-[PD_10]	-0.7314836968315972
[PD_02]-[PD_11]	-1.2145980871143702
[PD_02]-[PD_12]	-0.3163622549704245
[PD_02]-[PD_13]	-0.7192918539047242
[PD_02]-[PD_14]	0.0
[PD_02]-[PD_15]	-0.586241015681514
[PD_02]-[PD_16]	-0.5784691410719811
[PD_02]-[PD_17]	0.0
[PD_02]-[PD_18]	-0.0337021916478244
[PD_02]-[PD_19]	-0.023180003472935917
[PD_02]-[PD_20]	-0.8110673183865016
[PD_02]-[PD_21]	-0.8110673183865016
[PD_03]-[PD_04]	-0.014660517374674331
[PD_03]-[PD_05]	-0.604451534129955
[PD_03]-[PD_06]	0.0
[PD_03]-[PD_07]	-1.2083894325025153
[PD_03]-[PD_08]	-0.003086443300600372
[PD_03]-[PD_09]	0.0
[PD_03]-[PD_10]	-0.7569687002676504
[PD_03]-[PD_11]	-1.2234064139217111
[PD_03]-[PD_12]	-0.3148973272130773
[PD_03]-[PD_13]	-0.7702949435622604
[PD_03]-[PD_14]	0.0
[PD_03]-[PD_15]	-0.5898453747784649
[PD_03]-[PD_16]	-0.6184412573533016
