Perturbation	Synergies	Non-synergies
[PD_01]-[PD_02]	0	106
[PD_01]-[PD_03]	0	106
[PD_01]-[PD_04]	1	134
[PD_01]-[PD_05]	36	99
[PD_01]-[PD_06]	0	106
[PD_01]-[PD_07]	27	92
[PD_01]-[PD_08]	12	94
[PD_01]-[PD_09]	6	87
[PD_01]-[PD_10]	36	99
[PD_01]-[PD_11]	6	53
[PD_01]-[PD_12]	24	111
[PD_01]-[PD_13]	31	104
[PD_01]-[PD_14]	1	134
[PD_01]-[PD_15]	20	115
[PD_01]-[PD_16]	37	98
[PD_01]-[PD_17]	6	126
[PD_01]-[PD_18]	11	124
[PD_01]-[PD_19]	3	119
[PD_01]-[PD_20]	46	86
[PD_01]-[PD_21]	46	86
[PD_02]-[PD_03]	1	107
[PD_02]-[PD_04]	1	107
[PD_02]-[PD_05]	58	50
[PD_02]-[PD_06]	0	108
[PD_02]-[PD_07]	71	19
[PD_02]-[PD_08]	0	108
[PD_02]-[PD_09]	0	90
[PD_02]-[PD_10]	57	51
[PD_02]-[PD_11]	22	7
[PD_02]-[PD_12]	36	72
[PD_02]-[PD_13]	61	47
[PD_02]-[PD_14]	1	107
[PD_02]-[PD_15]	39	69
[PD_02]-[PD_16]	61	47
[PD_02]-[PD_17]	9	96
[PD_02]-[PD_18]	15	93
[PD_02]-[PD_19]	3	92
[PD_02]-[PD_20]	73	32
[PD_02]-[PD_21]	73	32
[PD_03]-[PD_04]	3	105
[PD_03]-[PD_05]	60	48
[PD_03]-[PD_06]	1	107
[PD_03]-[PD_07]	72	18
[PD_03]-[PD_08]	2	106
[PD_03]-[PD_09]	0	90
[PD_03]-[PD_10]	56	52
[PD_03]-[PD_11]	21	8
[PD_03]-[PD_12]	36	72
[PD_03]-[PD_13]	60	48
[PD_03]-[PD_14]	1	107
[PD_03]-[PD_15]	40	68
[PD_03]-[PD_16]	61	47
[PD_03]-[PD_17]	8	97
[PD_03]-[PD_18]	15	93
[PD_03]-[PD_19]	3	92
[PD_03]-[PD_20]	77	28
[PD_03]-[PD_21]	77	28
[PD_04]-[PD_05]	6	144
[PD_04]-[PD_06]	1	107
[PD_04]-[PD_07]	11	121
[PD_04]-[PD_08]	1	122
[PD_04]-[PD_09]	0	105
[PD_04]-[PD_10]	12	138
[PD_04]-[PD_11]	3	65
[PD_04]-[PD_12]	3	147
[PD_04]-[PD_13]	1	149
[PD_04]-[PD_14]	0	150
[PD_04]-[PD_15]	6	144
[PD_04]-[PD_16]	14	136
[PD_04]-[PD_17]	7	140
[PD_04]-[PD_18]	0	150
[PD_04]-[PD_19]	0	138
[PD_04]-[PD_20]	8	139
[PD_04]-[PD_21]	8	139
[PD_05]-[PD_06]	53	55
[PD_05]-[PD_07]	0	132
[PD_05]-[PD_08]	27	96
[PD_05]-[PD_09]	35	70
[PD_05]-[PD_10]	77	73
[PD_05]-[PD_11]	23	45
[PD_05]-[PD_12]	34	116
[PD_05]-[PD_13]	81	69
[PD_05]-[PD_14]	3	147
[PD_05]-[PD_15]	45	105
[PD_05]-[PD_16]	80	70
[PD_05]-[PD_17]	17	130
[PD_05]-[PD_18]	26	124
[PD_05]-[PD_19]	0	138
[PD_05]-[PD_20]	0	147
[PD_05]-[PD_21]	0	147
[PD_06]-[PD_07]	65	24
[PD_06]-[PD_08]	0	108
[PD_06]-[PD_09]	0	90
[PD_06]-[PD_10]	53	55
[PD_06]-[PD_11]	18	11
[PD_06]-[PD_12]	36	72
[PD_06]-[PD_13]	62	46
[PD_06]-[PD_14]	1	107
[PD_06]-[PD_15]	39	69
[PD_06]-[PD_16]	56	51
[PD_06]-[PD_17]	5	100
[PD_06]-[PD_18]	11	97
[PD_06]-[PD_19]	3	92
