Perturbation	Response excess over subset
[PD_01]-[PD_02]	-1.0451225396224118E-7
[PD_01]-[PD_03]	-1.0596381283534129E-7
[PD_01]-[PD_04]	-0.032645225524902344
[PD_01]-[PD_05]	-0.3343965176960302
[PD_01]-[PD_06]	0.0
[PD_01]-[PD_07]	-0.12427247015379594
[PD_01]-[PD_08]	-0.28362122953754576
[PD_01]-[PD_09]	-0.021354198455810547
[PD_01]-[PD_10]	-0.2507673176129659
[PD_01]-[PD_11]	-0.21536469459533691
[PD_01]-[PD_12]	-0.4159454107284546
[PD_01]-[PD_13]	-0.33986350695292156
[PD_01]-[PD_14]	0.0
[PD_01]-[PD_15]	-0.3361313803990682
[PD_01]-[PD_16]	-0.17916667461395264
[PD_01]-[PD_17]	-0.0850827693939209
[PD_01]-[PD_18]	-0.0025391578674316406
[PD_01]-[PD_19]	0.0
[PD_01]-[PD_20]	-0.39960719913526876
[PD_01]-[PD_21]	-0.39960719913526876
[PD_02]-[PD_03]	-0.010416666666666519
[PD_02]-[PD_04]	-0.022260273972602773
[PD_02]-[PD_05]	-0.6491197162784943
[PD_02]-[PD_06]	0.0
[PD_02]-[PD_07]	-0.9406603618583294
[PD_02]-[PD_08]	0.0
[PD_02]-[PD_09]	0.0
[PD_02]-[PD_10]	-0.4356861466359875
[PD_02]-[PD_11]	-1.44727918028015
[PD_02]-[PD_12]	-0.47920091184851243
[PD_02]-[PD_13]	-0.49277150228143285
[PD_02]-[PD_14]	0.0
[PD_02]-[PD_15]	-0.536789358478703
[PD_02]-[PD_16]	-0.37810884763116703
[PD_02]-[PD_17]	-0.08055919490448415
[PD_02]-[PD_18]	-0.06760448299042165
[PD_02]-[PD_19]	-0.010012297905511502
[PD_02]-[PD_20]	-0.8937621519881297
[PD_02]-[PD_21]	-0.8937621519881297
[PD_03]-[PD_04]	-0.0347222222222221
[PD_03]-[PD_05]	-0.7168289354112413
[PD_03]-[PD_06]	0.0
[PD_03]-[PD_07]	-1.0153644883753072
[PD_03]-[PD_08]	-0.010416772630479576
[PD_03]-[PD_09]	-1.0596381283534129E-7
[PD_03]-[PD_10]	-0.4201663208007812
[PD_03]-[PD_11]	-1.4359145061837302
[PD_03]-[PD_12]	-0.5373282120470949
[PD_03]-[PD_13]	-0.5399999534055626
[PD_03]-[PD_14]	0.0
[PD_03]-[PD_15]	-0.5640778500809628
[PD_03]-[PD_16]	-0.3833603594038222
[PD_03]-[PD_17]	-0.05349813893868305
[PD_03]-[PD_18]	-0.07724436813656399
[PD_03]-[PD_19]	-0.002729966905381742
[PD_03]-[PD_20]	-0.9609309048122829
[PD_03]-[PD_21]	-0.9609309048122829
[PD_04]-[PD_05]	-0.02370859781901058
[PD_04]-[PD_06]	-0.020833439297146317
[PD_04]-[PD_07]	-0.03898665255262834
[PD_04]-[PD_08]	-0.0122222900390625
[PD_04]-[PD_09]	-0.0021427408854166607
[PD_04]-[PD_10]	-0.03730153401692704
[PD_04]-[PD_11]	0.0
[PD_04]-[PD_12]	-0.032208251953125044
[PD_04]-[PD_13]	-0.0016666666666667052
[PD_04]-[PD_14]	-2.3170419987428303E-4
[PD_04]-[PD_15]	-0.032555541992187464
[PD_04]-[PD_16]	-0.032857144673665364
[PD_04]-[PD_17]	-0.06824645996093759
[PD_04]-[PD_18]	-0.029523722330729196
[PD_04]-[PD_19]	-0.01980341835627475
[PD_04]-[PD_20]	-0.05742634812446479
[PD_04]-[PD_21]	-0.05742634812446479
[PD_05]-[PD_06]	-0.6283381610446506
[PD_05]-[PD_07]	0.0
[PD_05]-[PD_08]	-0.33444020589192713
[PD_05]-[PD_09]	-0.07898356119791683
[PD_05]-[PD_10]	-0.2437545267740885
[PD_05]-[PD_11]	-0.5533113606770834
[PD_05]-[PD_12]	-0.22717926025390645
[PD_05]-[PD_13]	-0.16943654378255213
[PD_05]-[PD_14]	-0.0011944033902231421
[PD_05]-[PD_15]	-0.21445343017578122
[PD_05]-[PD_16]	-0.22089342753092447
[PD_05]-[PD_17]	-0.03551818847656252
[PD_05]-[PD_18]	-0.08805491129557308
[PD_05]-[PD_19]	-0.022697641510507793
[PD_05]-[PD_20]	0.0
[PD_05]-[PD_21]	0.0
[PD_06]-[PD_07]	-0.8926849662631287
[PD_06]-[PD_08]	-1.0596381283534129E-7
[PD_06]-[PD_09]	-1.0596381283534129E-7
[PD_06]-[PD_10]	-0.39107406192355687
[PD_06]-[PD_11]	-1.5123844438129002
[PD_06]-[PD_12]	-0.4230862258957582
[PD_06]-[PD_13]	-0.49421198632982044
[PD_06]-[PD_14]	0.0
[PD_06]-[PD_15]	-0.5188577440049913
[PD_06]-[PD_16]	-0.33461534726869807
[PD_06]-[PD_17]	-0.03551298370825817
[PD_06]-[PD_18]	-0.02221390391775091
[PD_06]-[PD_19]	-0.023689080674357266
[PD_06]-[PD_20]	-0.8791318215264214
[PD_06]-[PD_21]	-0.8791318215264214
[PD_07]-[PD_08]	-0.2178796001395793
[PD_07]-[PD_09]	-0.2353500212081755
[PD_07]-[PD_10]	-0.6528415612754581
[PD_07]-[PD_11]	0.0
[PD_07]-[PD_12]	-0.3265278363468671
[PD_07]-[PD_13]	-0.6338620734937264
[PD_07]-[PD_14]	0.0
[PD_07]-[PD_15]	-0.40762510203351876
[PD_07]-[PD_16]	-0.5942259894476997
[PD_07]-[PD_17]	0.0
[PD_07]-[PD_18]	-0.1327190206508443
[PD_07]-[PD_19]	0.0
[PD_07]-[PD_20]	0.0
[PD_07]-[PD_21]	0.0
[PD_08]-[PD_09]	0.0
[PD_08]-[PD_10]	-0.12558649698893232
[PD_08]-[PD_11]	-0.6686073083070971
[PD_08]-[PD_12]	-0.23242645263671857
[PD_08]-[PD_13]	-0.14124221801757808
[PD_08]-[PD_14]	-8.192952473957682E-4
[PD_08]-[PD_15]	-0.19031046549479158
[PD_08]-[PD_16]	-0.1426770528157552
[PD_08]-[PD_17]	-0.05951843261718737
[PD_08]-[PD_18]	-0.07723144531249981
[PD_08]-[PD_19]	-0.059508223378269776
[PD_08]-[PD_20]	-0.35373706277646977
[PD_08]-[PD_21]	-0.35373706277646977
[PD_09]-[PD_10]	0.0
[PD_09]-[PD_11]	0.0
[PD_09]-[PD_12]	-0.02467122395833332
[PD_09]-[PD_13]	-0.006742350260416696
[PD_09]-[PD_14]	0.0
[PD_09]-[PD_15]	-0.002484537760416572
[PD_09]-[PD_16]	0.0
[PD_09]-[PD_17]	-0.0033404541015624734
[PD_09]-[PD_18]	-0.009166666666666545
[PD_09]-[PD_19]	-0.002645583379836225
[PD_09]-[PD_20]	-0.08565165898571281
[PD_09]-[PD_21]	-0.08565165898571281
[PD_10]-[PD_11]	-0.68189891352798
[PD_10]-[PD_12]	-0.18532887776692708
[PD_10]-[PD_13]	-1.0155555725097656
[PD_10]-[PD_14]	-2.0273161681172436E-4
[PD_10]-[PD_15]	-0.5498145802815755
[PD_10]-[PD_16]	-0.026888888676961265
[PD_10]-[PD_17]	-0.0480634562174479
[PD_10]-[PD_18]	-0.04524993896484375
[PD_10]-[PD_19]	-0.024936436244419657
[PD_10]-[PD_20]	-0.3412696197370416
[PD_10]-[PD_21]	-0.3412696197370416
[PD_11]-[PD_12]	-0.44094889322916675
[PD_11]-[PD_13]	0.0
[PD_11]-[PD_14]	0.0
[PD_11]-[PD_15]	0.0
[PD_11]-[PD_16]	0.0
[PD_11]-[PD_17]	0.0
[PD_11]-[PD_18]	-0.5351666259765624
[PD_11]-[PD_19]	0.0
[PD_11]-[PD_20]	-0.44935921446917804
[PD_11]-[PD_21]	-0.44935921446917804
[PD_12]-[PD_13]	-0.09262023925781249
[PD_12]-[PD_14]	0.0
[PD_12]-[PD_15]	-0.15330749511718755
[PD_12]-[PD_16]	-0.16781962076822918
[PD_12]-[PD_17]	0.0
[PD_12]-[PD_18]	-0.002083333333333437
[PD_12]-[PD_19]	-0.022491256471664167
[PD_12]-[PD_20]	-0.2360695616839683
[PD_12]-[PD_21]	-0.2360695616839683
[PD_13]-[PD_14]	-7.931020169184011E-4
[PD_13]-[PD_15]	0.0
[PD_13]-[PD_16]	-1.118714599609375
[PD_13]-[PD_17]	-0.025946248372395786
[PD_13]-[PD_18]	-0.016457417805989638
[PD_13]-[PD_19]	-2.22584557911798E-5
[PD_13]-[PD_20]	-0.22973937291532887
[PD_13]-[PD_21]	-0.22973937291532887
[PD_14]-[PD_15]	-2.821264757673081E-4
[PD_14]-[PD_16]	0.0
[PD_14]-[PD_17]	-0.001999715169270777
[PD_14]-[PD_18]	0.0
[PD_14]-[PD_19]	0.0
[PD_14]-[PD_20]	-0.00584430505376865
[PD_14]-[PD_21]	-0.00584430505376865
[PD_15]-[PD_16]	-0.5429637654622396
[PD_15]-[PD_17]	-0.05276529947916675
[PD_15]-[PD_18]	-0.03953877766927083
