Perturbation	Synergies	Non-synergies
[PD_01]-[PD_02]	0	128
[PD_01]-[PD_03]	0	126
[PD_01]-[PD_04]	4	124
[PD_01]-[PD_05]	22	101
[PD_01]-[PD_06]	0	126
[PD_01]-[PD_07]	12	81
[PD_01]-[PD_08]	23	105
[PD_01]-[PD_09]	7	121
[PD_01]-[PD_10]	26	102
[PD_01]-[PD_11]	0	3
[PD_01]-[PD_12]	35	93
[PD_01]-[PD_13]	42	86
[PD_01]-[PD_14]	1	127
[PD_01]-[PD_15]	25	103
[PD_01]-[PD_16]	26	102
[PD_01]-[PD_17]	10	118
[PD_01]-[PD_18]	3	125
[PD_01]-[PD_19]	0	103
[PD_01]-[PD_20]	47	53
[PD_01]-[PD_21]	47	53
[PD_02]-[PD_03]	0	144
[PD_02]-[PD_04]	5	141
[PD_02]-[PD_05]	100	46
[PD_02]-[PD_06]	0	144
[PD_02]-[PD_07]	72	23
[PD_02]-[PD_08]	0	146
[PD_02]-[PD_09]	0	146
[PD_02]-[PD_10]	50	96
[PD_02]-[PD_11]	0	3
[PD_02]-[PD_12]	67	79
[PD_02]-[PD_13]	63	83
[PD_02]-[PD_14]	1	144
[PD_02]-[PD_15]	38	108
[PD_02]-[PD_16]	54	92
[PD_02]-[PD_17]	17	129
[PD_02]-[PD_18]	20	126
[PD_02]-[PD_19]	0	115
[PD_02]-[PD_20]	111	31
[PD_02]-[PD_21]	111	31
[PD_03]-[PD_04]	5	139
[PD_03]-[PD_05]	103	41
[PD_03]-[PD_06]	0	142
[PD_03]-[PD_07]	72	21
[PD_03]-[PD_08]	0	144
[PD_03]-[PD_09]	0	144
[PD_03]-[PD_10]	45	99
[PD_03]-[PD_11]	0	3
[PD_03]-[PD_12]	70	74
[PD_03]-[PD_13]	66	77
[PD_03]-[PD_14]	1	142
[PD_03]-[PD_15]	43	100
[PD_03]-[PD_16]	53	91
[PD_03]-[PD_17]	14	130
[PD_03]-[PD_18]	24	120
[PD_03]-[PD_19]	0	113
[PD_03]-[PD_20]	110	30
[PD_03]-[PD_21]	110	30
[PD_04]-[PD_05]	12	138
[PD_04]-[PD_06]	4	140
[PD_04]-[PD_07]	12	85
[PD_04]-[PD_08]	4	146
[PD_04]-[PD_09]	3	147
[PD_04]-[PD_10]	8	142
[PD_04]-[PD_11]	0	3
[PD_04]-[PD_12]	8	142
