Perturbation	Response excess over subset
[PD_01]-[PD_02]	0.0
[PD_01]-[PD_03]	0.0
[PD_01]-[PD_04]	-0.10228395815248859
[PD_01]-[PD_05]	-0.2457727474636502
[PD_01]-[PD_06]	0.0
[PD_01]-[PD_07]	-0.17418826502819462
[PD_01]-[PD_08]	-0.3499042567345301
[PD_01]-[PD_09]	-0.25704898446833946
[PD_01]-[PD_10]	-0.14814814814814814
[PD_01]-[PD_11]	0.0
[PD_01]-[PD_12]	-0.08156196729380549
[PD_01]-[PD_13]	-0.16586594193070026
[PD_01]-[PD_14]	-0.007407407407407529
[PD_01]-[PD_15]	-0.19219051784939234
[PD_01]-[PD_16]	-0.07971014492753623
[PD_01]-[PD_17]	-0.0079012270326968
[PD_01]-[PD_18]	-0.028904991948470293
[PD_01]-[PD_19]	0.0
[PD_01]-[PD_20]	-0.22398808612915633
[PD_01]-[PD_21]	-0.22398808612915633
[PD_02]-[PD_03]	-0.033161517271061536
[PD_02]-[PD_04]	-0.0664700998843295
[PD_02]-[PD_05]	-0.7723855622918089
[PD_02]-[PD_06]	0.0
[PD_02]-[PD_07]	-1.1629247521541994
[PD_02]-[PD_08]	0.0
[PD_02]-[PD_09]	0.0
[PD_02]-[PD_10]	-0.6293203113148513
[PD_02]-[PD_11]	-0.46677623751865627
[PD_02]-[PD_12]	-0.21091002635323408
[PD_02]-[PD_13]	-0.7038121580846102
[PD_02]-[PD_14]	0.0
[PD_02]-[PD_15]	-0.5654427982071071
[PD_02]-[PD_16]	-0.43804147108545843
[PD_02]-[PD_17]	0.0
[PD_02]-[PD_18]	0.0
[PD_02]-[PD_19]	-0.05165026783417104
[PD_02]-[PD_20]	-0.9176672141065876
[PD_02]-[PD_21]	-0.9176672141065876
[PD_03]-[PD_04]	-0.10374324837910764
[PD_03]-[PD_05]	-0.7724076235007584
[PD_03]-[PD_06]	0.0
[PD_03]-[PD_07]	-1.2121801613949221
[PD_03]-[PD_08]	-0.033161517271061536
[PD_03]-[PD_09]	0.0
[PD_03]-[PD_10]	-0.6546734682063466
[PD_03]-[PD_11]	-0.5824018669409324
[PD_03]-[PD_12]	-0.24626201904926115
[PD_03]-[PD_13]	-0.8044367784323152
[PD_03]-[PD_14]	0.0
[PD_03]-[PD_15]	-0.6356459942060648
[PD_03]-[PD_16]	-0.44518508911132815
