Perturbation	Synergies	Non-synergies
[PD_01]-[PD_02]	0	97
[PD_01]-[PD_03]	0	91
[PD_01]-[PD_04]	4	131
[PD_01]-[PD_05]	24	111
[PD_01]-[PD_06]	0	97
[PD_01]-[PD_07]	9	119
[PD_01]-[PD_08]	10	87
[PD_01]-[PD_09]	3	59
[PD_01]-[PD_10]	14	121
[PD_01]-[PD_11]	0	89
[PD_01]-[PD_12]	6	129
[PD_01]-[PD_13]	20	115
[PD_01]-[PD_14]	1	134
[PD_01]-[PD_15]	21	114
[PD_01]-[PD_16]	10	125
[PD_01]-[PD_17]	2	133
[PD_01]-[PD_18]	3	132
[PD_01]-[PD_19]	0	122
[PD_01]-[PD_20]	29	100
[PD_01]-[PD_21]	29	100
[PD_02]-[PD_03]	0	97
[PD_02]-[PD_04]	9	94
[PD_02]-[PD_05]	59	44
[PD_02]-[PD_06]	0	103
[PD_02]-[PD_07]	57	33
[PD_02]-[PD_08]	0	103
[PD_02]-[PD_09]	0	71
[PD_02]-[PD_10]	46	57
[PD_02]-[PD_11]	17	24
[PD_02]-[PD_12]	27	76
[PD_02]-[PD_13]	57	46
[PD_02]-[PD_14]	2	101
[PD_02]-[PD_15]	43	60
[PD_02]-[PD_16]	41	62
[PD_02]-[PD_17]	13	90
[PD_02]-[PD_18]	12	91
[PD_02]-[PD_19]	0	86
[PD_02]-[PD_20]	66	31
[PD_02]-[PD_21]	66	31
[PD_03]-[PD_04]	13	84
[PD_03]-[PD_05]	60	37
[PD_03]-[PD_06]	2	95
[PD_03]-[PD_07]	55	29
[PD_03]-[PD_08]	2	95
[PD_03]-[PD_09]	0	65
[PD_03]-[PD_10]	43	54
[PD_03]-[PD_11]	15	20
[PD_03]-[PD_12]	27	70
[PD_03]-[PD_13]	62	35
[PD_03]-[PD_14]	2	95
[PD_03]-[PD_15]	47	50
[PD_03]-[PD_16]	39	58
[PD_03]-[PD_17]	12	85
[PD_03]-[PD_18]	12	85
[PD_03]-[PD_19]	0	80
[PD_03]-[PD_20]	65	26
[PD_03]-[PD_21]	65	26
[PD_04]-[PD_05]	13	137
[PD_04]-[PD_06]	9	94
[PD_04]-[PD_07]	16	121
[PD_04]-[PD_08]	7	108
[PD_04]-[PD_09]	2	72
[PD_04]-[PD_10]	11	139
[PD_04]-[PD_11]	5	99
[PD_04]-[PD_12]	0	150
[PD_04]-[PD_13]	3	147
[PD_04]-[PD_14]	0	150
[PD_04]-[PD_15]	9	141
[PD_04]-[PD_16]	11	139
[PD_04]-[PD_17]	4	146
[PD_04]-[PD_18]	0	150
[PD_04]-[PD_19]	0	145
[PD_04]-[PD_20]	14	130
[PD_04]-[PD_21]	14	130
[PD_05]-[PD_06]	51	51
[PD_05]-[PD_07]	0	137
[PD_05]-[PD_08]	44	71
[PD_05]-[PD_09]	17	57
[PD_05]-[PD_10]	81	69
[PD_05]-[PD_11]	45	59
[PD_05]-[PD_12]	46	104
[PD_05]-[PD_13]	84	66
[PD_05]-[PD_14]	5	145
[PD_05]-[PD_15]	63	87
[PD_05]-[PD_16]	81	69
[PD_05]-[PD_17]	15	135
[PD_05]-[PD_18]	29	121
[PD_05]-[PD_19]	1	144
[PD_05]-[PD_20]	0	144
[PD_05]-[PD_21]	0	144
[PD_06]-[PD_07]	50	39
[PD_06]-[PD_08]	0	103
[PD_06]-[PD_09]	0	71
[PD_06]-[PD_10]	35	68
[PD_06]-[PD_11]	14	27
[PD_06]-[PD_12]	19	84
[PD_06]-[PD_13]	57	46
[PD_06]-[PD_14]	2	101
[PD_06]-[PD_15]	41	62
[PD_06]-[PD_16]	38	65
[PD_06]-[PD_17]	6	97
[PD_06]-[PD_18]	6	97
[PD_06]-[PD_19]	0	86
[PD_06]-[PD_20]	58	38
[PD_06]-[PD_21]	58	38
[PD_07]-[PD_08]	49	53
[PD_07]-[PD_09]	17	36
[PD_07]-[PD_10]	66	71
[PD_07]-[PD_11]	0	104
[PD_07]-[PD_12]	38	99
[PD_07]-[PD_13]	89	48
[PD_07]-[PD_14]	6	131
[PD_07]-[PD_15]	65	72
[PD_07]-[PD_16]	75	62
[PD_07]-[PD_17]	0	137
[PD_07]-[PD_18]	26	111
[PD_07]-[PD_19]	0	135
[PD_07]-[PD_20]	0	137
[PD_07]-[PD_21]	0	137
[PD_08]-[PD_09]	0	74
[PD_08]-[PD_10]	36	79
[PD_08]-[PD_11]	17	39
[PD_08]-[PD_12]	18	97
[PD_08]-[PD_13]	39	76
[PD_08]-[PD_14]	0	115
[PD_08]-[PD_15]	28	87
[PD_08]-[PD_16]	32	83
[PD_08]-[PD_17]	11	104
[PD_08]-[PD_18]	6	109
[PD_08]-[PD_19]	0	108
[PD_08]-[PD_20]	46	63
[PD_08]-[PD_21]	46	63
[PD_09]-[PD_10]	0	74
[PD_09]-[PD_11]	0	14
[PD_09]-[PD_12]	2	72
[PD_09]-[PD_13]	0	74
[PD_09]-[PD_14]	0	74
[PD_09]-[PD_15]	2	72
[PD_09]-[PD_16]	0	74
[PD_09]-[PD_17]	0	74
[PD_09]-[PD_18]	0	74
[PD_09]-[PD_19]	0	67
[PD_09]-[PD_20]	17	51
[PD_09]-[PD_21]	17	51
[PD_10]-[PD_11]	0	104
[PD_10]-[PD_12]	10	140
[PD_10]-[PD_13]	137	13
[PD_10]-[PD_14]	0	150
[PD_10]-[PD_15]	96	54
[PD_10]-[PD_16]	0	150
[PD_10]-[PD_17]	2	148
[PD_10]-[PD_18]	2	148
[PD_10]-[PD_19]	6	139
[PD_10]-[PD_20]	89	55
[PD_10]-[PD_21]	89	55
[PD_11]-[PD_12]	1	103
[PD_11]-[PD_13]	5	99
[PD_11]-[PD_14]	1	103
[PD_11]-[PD_15]	8	96
[PD_11]-[PD_16]	0	104
[PD_11]-[PD_17]	0	104
[PD_11]-[PD_18]	1	103
[PD_11]-[PD_19]	0	104
[PD_11]-[PD_20]	44	60
[PD_11]-[PD_21]	44	60
[PD_12]-[PD_13]	9	141
[PD_12]-[PD_14]	0	150
[PD_12]-[PD_15]	9	141
[PD_12]-[PD_16]	7	143
[PD_12]-[PD_17]	0	150
[PD_12]-[PD_18]	0	150
[PD_12]-[PD_19]	1	144
[PD_12]-[PD_20]	48	96
[PD_12]-[PD_21]	48	96
[PD_13]-[PD_14]	1	149
