Perturbation	Synergies	Non-synergies
[PD_01]-[PD_02]	0	107
[PD_01]-[PD_03]	0	65
[PD_01]-[PD_04]	4	106
[PD_01]-[PD_05]	9	101
[PD_01]-[PD_06]	0	107
[PD_01]-[PD_07]	12	89
[PD_01]-[PD_08]	6	101
[PD_01]-[PD_09]	0	107
[PD_01]-[PD_10]	21	89
[PD_01]-[PD_11]	6	82
[PD_01]-[PD_12]	9	101
[PD_01]-[PD_13]	19	91
[PD_01]-[PD_14]	1	109
[PD_01]-[PD_15]	10	100
[PD_01]-[PD_16]	25	85
[PD_01]-[PD_17]	2	108
[PD_01]-[PD_18]	3	107
[PD_01]-[PD_19]	0	107
[PD_01]-[PD_20]	12	92
[PD_01]-[PD_21]	12	92
[PD_02]-[PD_03]	0	81
[PD_02]-[PD_04]	5	118
[PD_02]-[PD_05]	45	78
[PD_02]-[PD_06]	0	123
[PD_02]-[PD_07]	51	48
[PD_02]-[PD_08]	0	123
[PD_02]-[PD_09]	0	123
[PD_02]-[PD_10]	57	66
[PD_02]-[PD_11]	21	65
[PD_02]-[PD_12]	32	91
[PD_02]-[PD_13]	52	71
[PD_02]-[PD_14]	3	120
[PD_02]-[PD_15]	33	90
[PD_02]-[PD_16]	60	63
[PD_02]-[PD_17]	9	114
[PD_02]-[PD_18]	20	103
[PD_02]-[PD_19]	1	116
[PD_02]-[PD_20]	52	65
[PD_02]-[PD_21]	52	65
[PD_03]-[PD_04]	5	76
[PD_03]-[PD_05]	36	45
[PD_03]-[PD_06]	3	76
[PD_03]-[PD_07]	45	12
[PD_03]-[PD_08]	0	81
[PD_03]-[PD_09]	0	81
[PD_03]-[PD_10]	50	31
[PD_03]-[PD_11]	12	19
[PD_03]-[PD_12]	29	52
[PD_03]-[PD_13]	40	41
[PD_03]-[PD_14]	3	78
[PD_03]-[PD_15]	25	56
[PD_03]-[PD_16]	54	27
[PD_03]-[PD_17]	7	74
[PD_03]-[PD_18]	18	63
[PD_03]-[PD_19]	0	74
[PD_03]-[PD_20]	44	31
[PD_03]-[PD_21]	44	31
[PD_04]-[PD_05]	15	135
[PD_04]-[PD_06]	2	121
[PD_04]-[PD_07]	18	106
[PD_04]-[PD_08]	5	142
[PD_04]-[PD_09]	0	147
[PD_04]-[PD_10]	11	139
[PD_04]-[PD_11]	6	95
[PD_04]-[PD_12]	2	148
[PD_04]-[PD_13]	8	142
[PD_04]-[PD_14]	0	150
[PD_04]-[PD_15]	7	143
[PD_04]-[PD_16]	14	135
[PD_04]-[PD_17]	3	147
[PD_04]-[PD_18]	1	149
[PD_04]-[PD_19]	0	139
[PD_04]-[PD_20]	16	128
[PD_04]-[PD_21]	16	128
[PD_05]-[PD_06]	42	81
[PD_05]-[PD_07]	0	124
[PD_05]-[PD_08]	47	100
[PD_05]-[PD_09]	11	136
[PD_05]-[PD_10]	61	89
[PD_05]-[PD_11]	47	54
[PD_05]-[PD_12]	46	104
[PD_05]-[PD_13]	76	74
[PD_05]-[PD_14]	8	142
[PD_05]-[PD_15]	47	103
[PD_05]-[PD_16]	70	79
[PD_05]-[PD_17]	21	129
[PD_05]-[PD_18]	33	117
[PD_05]-[PD_19]	1	138
[PD_05]-[PD_20]	0	144
[PD_05]-[PD_21]	0	144
[PD_06]-[PD_07]	46	53
[PD_06]-[PD_08]	0	123
[PD_06]-[PD_09]	0	123
[PD_06]-[PD_10]	50	73
[PD_06]-[PD_11]	18	68
[PD_06]-[PD_12]	22	101
[PD_06]-[PD_13]	52	71
[PD_06]-[PD_14]	6	117
[PD_06]-[PD_15]	34	89
[PD_06]-[PD_16]	54	69
[PD_06]-[PD_17]	7	116
[PD_06]-[PD_18]	12	111
[PD_06]-[PD_19]	1	116
[PD_06]-[PD_20]	49	68
[PD_06]-[PD_21]	49	68
[PD_07]-[PD_08]	42	79
[PD_07]-[PD_09]	11	110
[PD_07]-[PD_10]	53	71
[PD_07]-[PD_11]	0	101
[PD_07]-[PD_12]	36	88
[PD_07]-[PD_13]	76	48
[PD_07]-[PD_14]	7	117
[PD_07]-[PD_15]	40	84
[PD_07]-[PD_16]	66	58
[PD_07]-[PD_17]	0	124
[PD_07]-[PD_18]	29	95
[PD_07]-[PD_19]	0	116
[PD_07]-[PD_20]	0	124
[PD_07]-[PD_21]	0	124
[PD_08]-[PD_09]	0	147
[PD_08]-[PD_10]	42	105
[PD_08]-[PD_11]	12	86
[PD_08]-[PD_12]	25	122
[PD_08]-[PD_13]	39	108
[PD_08]-[PD_14]	2	145
[PD_08]-[PD_15]	27	120
[PD_08]-[PD_16]	43	103
