Perturbation	Response excess over subset
[PD_01]-[PD_02]	0.0
[PD_01]-[PD_03]	0.0
[PD_01]-[PD_04]	-0.0660400390625
[PD_01]-[PD_05]	-0.26952254203900905
[PD_01]-[PD_06]	0.0
[PD_01]-[PD_07]	-0.18581813121918922
[PD_01]-[PD_08]	-0.3064516110527784
[PD_01]-[PD_09]	-0.09125949744891404
[PD_01]-[PD_10]	-0.21423144959566887
[PD_01]-[PD_11]	-0.16566421394061326
[PD_01]-[PD_12]	-0.3922864129011494
[PD_01]-[PD_13]	-0.3051460812982163
[PD_01]-[PD_14]	-0.013157894736842035
[PD_01]-[PD_15]	-0.3458155168805803
[PD_01]-[PD_16]	-0.19048872180451126
[PD_01]-[PD_17]	-0.023558996673813448
[PD_01]-[PD_18]	-0.10828864305539243
[PD_01]-[PD_19]	0.0
[PD_01]-[PD_20]	-0.2884795205216134
[PD_01]-[PD_21]	-0.2884795205216134
[PD_02]-[PD_03]	-0.030774475097656184
[PD_02]-[PD_04]	-0.03461550199068508
[PD_02]-[PD_05]	-0.677235107421875
[PD_02]-[PD_06]	0.0
[PD_02]-[PD_07]	-0.7344104292799195
[PD_02]-[PD_08]	0.0
[PD_02]-[PD_09]	0.0
[PD_02]-[PD_10]	-0.4525030439327925
[PD_02]-[PD_11]	-0.8134679185583237
[PD_02]-[PD_12]	-0.5245201110839843
[PD_02]-[PD_13]	-0.5266407325940254
[PD_02]-[PD_14]	0.0
[PD_02]-[PD_15]	-0.6043714552659255
[PD_02]-[PD_16]	-0.4308382298396184
[PD_02]-[PD_17]	-0.05646538367638221
[PD_02]-[PD_18]	-0.1342677189753605
[PD_02]-[PD_19]	0.0
[PD_02]-[PD_20]	-0.6720166080556016
[PD_02]-[PD_21]	-0.6720166080556016
[PD_03]-[PD_04]	-0.08000000000000007
[PD_03]-[PD_05]	-0.7253160095214845
[PD_03]-[PD_06]	-0.03219999694824205
[PD_03]-[PD_07]	-0.7139572194029054
[PD_03]-[PD_08]	-0.03600000000000003
[PD_03]-[PD_09]	0.0
[PD_03]-[PD_10]	-0.43595876057942706
[PD_03]-[PD_11]	-0.8801524098714194
[PD_03]-[PD_12]	-0.5490020966529847
[PD_03]-[PD_13]	-0.5640619303385417
[PD_03]-[PD_14]	0.0
[PD_03]-[PD_15]	-0.5786259765625
[PD_03]-[PD_16]	-0.42723151564598083
