Perturbation	Synergies	Non-synergies
[PD_01]-[PD_02]	0	126
[PD_01]-[PD_03]	0	121
[PD_01]-[PD_04]	7	126
[PD_01]-[PD_05]	31	102
[PD_01]-[PD_06]	0	121
[PD_01]-[PD_07]	16	101
[PD_01]-[PD_08]	16	110
[PD_01]-[PD_09]	8	104
[PD_01]-[PD_10]	24	109
[PD_01]-[PD_11]	1	38
[PD_01]-[PD_12]	24	109
[PD_01]-[PD_13]	30	103
[PD_01]-[PD_14]	4	129
[PD_01]-[PD_15]	18	115
[PD_01]-[PD_16]	23	110
[PD_01]-[PD_17]	7	126
[PD_01]-[PD_18]	12	121
[PD_01]-[PD_19]	0	114
[PD_01]-[PD_20]	41	82
[PD_01]-[PD_21]	41	82
[PD_02]-[PD_03]	0	125
[PD_02]-[PD_04]	5	125
[PD_02]-[PD_05]	67	63
[PD_02]-[PD_06]	0	125
[PD_02]-[PD_07]	68	43
[PD_02]-[PD_08]	0	130
[PD_02]-[PD_09]	0	115
[PD_02]-[PD_10]	45	85
[PD_02]-[PD_11]	11	21
[PD_02]-[PD_12]	53	77
[PD_02]-[PD_13]	50	80
[PD_02]-[PD_14]	5	125
[PD_02]-[PD_15]	32	98
[PD_02]-[PD_16]	51	79
[PD_02]-[PD_17]	10	120
[PD_02]-[PD_18]	30	100
[PD_02]-[PD_19]	0	111
[PD_02]-[PD_20]	83	38
[PD_02]-[PD_21]	83	38
[PD_03]-[PD_04]	9	116
[PD_03]-[PD_05]	62	63
[PD_03]-[PD_06]	0	120
[PD_03]-[PD_07]	61	45
[PD_03]-[PD_08]	4	121
[PD_03]-[PD_09]	0	110
[PD_03]-[PD_10]	41	84
[PD_03]-[PD_11]	11	19
[PD_03]-[PD_12]	52	73
[PD_03]-[PD_13]	55	70
[PD_03]-[PD_14]	7	118
[PD_03]-[PD_15]	32	93
[PD_03]-[PD_16]	46	79
[PD_03]-[PD_17]	9	116
[PD_03]-[PD_18]	27	98
[PD_03]-[PD_19]	0	106
[PD_03]-[PD_20]	78	38
[PD_03]-[PD_21]	78	38
[PD_04]-[PD_05]	16	134
[PD_04]-[PD_06]	5	120
[PD_04]-[PD_07]	20	110
[PD_04]-[PD_08]	1	142
[PD_04]-[PD_09]	0	129
[PD_04]-[PD_10]	7	143
[PD_04]-[PD_11]	4	35
[PD_04]-[PD_12]	1	149
[PD_04]-[PD_13]	3	147
[PD_04]-[PD_14]	0	150
[PD_04]-[PD_15]	4	146
[PD_04]-[PD_16]	6	144
[PD_04]-[PD_17]	9	141
[PD_04]-[PD_18]	2	148
[PD_04]-[PD_19]	3	127
[PD_04]-[PD_20]	17	124
[PD_04]-[PD_21]	17	124
[PD_05]-[PD_06]	56	69
[PD_05]-[PD_07]	0	131
[PD_05]-[PD_08]	36	107
[PD_05]-[PD_09]	35	94
[PD_05]-[PD_10]	65	85
[PD_05]-[PD_11]	2	37
[PD_05]-[PD_12]	44	106
[PD_05]-[PD_13]	69	81
[PD_05]-[PD_14]	4	146
[PD_05]-[PD_15]	46	104
[PD_05]-[PD_16]	79	71
[PD_05]-[PD_17]	7	143
[PD_05]-[PD_18]	35	115
[PD_05]-[PD_19]	2	128
[PD_05]-[PD_20]	0	141
[PD_05]-[PD_21]	0	141
[PD_06]-[PD_07]	57	46
[PD_06]-[PD_08]	0	125
[PD_06]-[PD_09]	0	110
[PD_06]-[PD_10]	41	84
[PD_06]-[PD_11]	11	21
[PD_06]-[PD_12]	46	79
[PD_06]-[PD_13]	46	79
[PD_06]-[PD_14]	5	120
[PD_06]-[PD_15]	29	96
[PD_06]-[PD_16]	49	76
[PD_06]-[PD_17]	6	117
[PD_06]-[PD_18]	25	100
[PD_06]-[PD_19]	0	106
[PD_06]-[PD_20]	74	42
[PD_06]-[PD_21]	74	42
[PD_07]-[PD_08]	46	78
[PD_07]-[PD_09]	35	72
[PD_07]-[PD_10]	52	79
[PD_07]-[PD_11]	0	39
[PD_07]-[PD_12]	52	79
[PD_07]-[PD_13]	68	63
[PD_07]-[PD_14]	2	129
[PD_07]-[PD_15]	50	81
[PD_07]-[PD_16]	76	55
[PD_07]-[PD_17]	0	131
[PD_07]-[PD_18]	39	92
[PD_07]-[PD_19]	0	111
[PD_07]-[PD_20]	0	131
[PD_07]-[PD_21]	0	131
[PD_08]-[PD_09]	0	128
[PD_08]-[PD_10]	18	125
[PD_08]-[PD_11]	9	23
[PD_08]-[PD_12]	28	115
[PD_08]-[PD_13]	26	117
[PD_08]-[PD_14]	4	139
[PD_08]-[PD_15]	16	127
[PD_08]-[PD_16]	25	118
[PD_08]-[PD_17]	6	137
[PD_08]-[PD_18]	16	127
[PD_08]-[PD_19]	3	120
