Perturbation	Synergies	Non-synergies
[PD_01]-[PD_02]	0	138
[PD_01]-[PD_03]	0	138
[PD_01]-[PD_04]	7	131
[PD_01]-[PD_05]	56	80
[PD_01]-[PD_06]	0	138
[PD_01]-[PD_07]	24	73
[PD_01]-[PD_08]	16	122
[PD_01]-[PD_09]	9	129
[PD_01]-[PD_10]	47	91
[PD_01]-[PD_11]	0	0
[PD_01]-[PD_12]	22	116
[PD_01]-[PD_13]	49	89
[PD_01]-[PD_14]	1	137
[PD_01]-[PD_15]	29	109
[PD_01]-[PD_16]	43	95
[PD_01]-[PD_17]	17	121
[PD_01]-[PD_18]	12	126
[PD_01]-[PD_19]	0	115
[PD_01]-[PD_20]	62	45
[PD_01]-[PD_21]	62	45
[PD_02]-[PD_03]	3	142
[PD_02]-[PD_04]	5	140
[PD_02]-[PD_05]	99	45
[PD_02]-[PD_06]	0	145
[PD_02]-[PD_07]	66	36
[PD_02]-[PD_08]	0	145
[PD_02]-[PD_09]	0	145
[PD_02]-[PD_10]	65	80
[PD_02]-[PD_11]	0	0
[PD_02]-[PD_12]	37	108
[PD_02]-[PD_13]	64	81
[PD_02]-[PD_14]	2	143
[PD_02]-[PD_15]	36	109
[PD_02]-[PD_16]	62	83
[PD_02]-[PD_17]	30	115
[PD_02]-[PD_18]	24	121
[PD_02]-[PD_19]	0	118
[PD_02]-[PD_20]	104	22
[PD_02]-[PD_21]	104	22
[PD_03]-[PD_04]	8	137
[PD_03]-[PD_05]	99	45
[PD_03]-[PD_06]	3	142
[PD_03]-[PD_07]	63	39
[PD_03]-[PD_08]	3	142
[PD_03]-[PD_09]	0	145
[PD_03]-[PD_10]	62	83
[PD_03]-[PD_11]	0	0
[PD_03]-[PD_12]	34	111
[PD_03]-[PD_13]	64	81
[PD_03]-[PD_14]	2	143
[PD_03]-[PD_15]	32	113
[PD_03]-[PD_16]	59	86
[PD_03]-[PD_17]	21	124
[PD_03]-[PD_18]	23	122
[PD_03]-[PD_19]	0	118
[PD_03]-[PD_20]	105	21
[PD_03]-[PD_21]	105	21
[PD_04]-[PD_05]	22	127
[PD_04]-[PD_06]	4	141
[PD_04]-[PD_07]	18	89
[PD_04]-[PD_08]	1	149
[PD_04]-[PD_09]	0	150
[PD_04]-[PD_10]	4	146
[PD_04]-[PD_11]	0	0
[PD_04]-[PD_12]	4	146
[PD_04]-[PD_13]	0	150
[PD_04]-[PD_14]	0	150
[PD_04]-[PD_15]	5	145
[PD_04]-[PD_16]	5	145
[PD_04]-[PD_17]	16	134
[PD_04]-[PD_18]	0	150
[PD_04]-[PD_19]	2	129
[PD_04]-[PD_20]	21	110
[PD_04]-[PD_21]	21	110
[PD_05]-[PD_06]	91	53
[PD_05]-[PD_07]	0	107
[PD_05]-[PD_08]	60	89
[PD_05]-[PD_09]	32	117
[PD_05]-[PD_10]	87	62
[PD_05]-[PD_11]	0	0
[PD_05]-[PD_12]	42	107
