Perturbation	Response excess over subset
[PD_01]-[PD_02]	0.0
[PD_01]-[PD_03]	0.0
[PD_01]-[PD_04]	-0.09173134500666169
[PD_01]-[PD_05]	-0.36033677534623565
[PD_01]-[PD_06]	0.0
[PD_01]-[PD_07]	-0.15920913585248758
[PD_01]-[PD_08]	-0.34385459219346015
[PD_01]-[PD_09]	-0.011111166874127498
[PD_01]-[PD_10]	-0.27002585950747937
[PD_01]-[PD_11]	0.0
[PD_01]-[PD_12]	-0.34448750813802076
[PD_01]-[PD_13]	-0.21401910116506184
[PD_01]-[PD_14]	0.0
[PD_01]-[PD_15]	-0.31749448081319653
[PD_01]-[PD_16]	-0.21421188531919969
[PD_01]-[PD_17]	-0.10981916087542398
[PD_01]-[PD_18]	-0.04664079533066845
[PD_01]-[PD_19]	-0.0505049895702574
[PD_01]-[PD_20]	-0.4650875697060236
[PD_01]-[PD_21]	-0.4650875697060236
[PD_02]-[PD_03]	-0.017477116114656743
[PD_02]-[PD_04]	-0.048949335662412
[PD_02]-[PD_05]	-0.7444498511659148
[PD_02]-[PD_06]	0.0
[PD_02]-[PD_07]	-0.6852995592005113
[PD_02]-[PD_08]	0.0
[PD_02]-[PD_09]	0.0
[PD_02]-[PD_10]	-0.5099961186798525
[PD_02]-[PD_11]	-0.12006803240094865
[PD_02]-[PD_12]	-0.3125138618576695
[PD_02]-[PD_13]	-0.4523570709944891
[PD_02]-[PD_14]	0.0
[PD_02]-[PD_15]	-0.36919575006189487
[PD_02]-[PD_16]	-0.4253891689676634
[PD_02]-[PD_17]	-0.10509523203675175
[PD_02]-[PD_18]	-0.058722375144421246
[PD_02]-[PD_19]	-0.13341187567298318
[PD_02]-[PD_20]	-0.8717391301715185
[PD_02]-[PD_21]	-0.8717391301715185
[PD_03]-[PD_04]	-0.083618378975022
[PD_03]-[PD_05]	-0.7693381582627274
[PD_03]-[PD_06]	0.0
[PD_03]-[PD_07]	-0.6691521300521552
[PD_03]-[PD_08]	-0.0293427588234485
[PD_03]-[PD_09]	0.0
[PD_03]-[PD_10]	-0.5159707942479093
[PD_03]-[PD_11]	-0.12006803240094865
[PD_03]-[PD_12]	-0.3120554534482285
[PD_03]-[PD_13]	-0.45212233279232694
[PD_03]-[PD_14]	0.0
[PD_03]-[PD_15]	-0.36321269290547975
[PD_03]-[PD_16]	-0.42220897405919894
