Perturbation	Response excess over subset
[PD_01]-[PD_02]	0.0
[PD_01]-[PD_03]	0.0
[PD_01]-[PD_04]	-0.10154334758890093
[PD_01]-[PD_05]	-0.213639391958095
[PD_01]-[PD_06]	0.0
[PD_01]-[PD_07]	-0.17539515292136587
[PD_01]-[PD_08]	-0.1321015103496188
[PD_01]-[PD_09]	0.0
[PD_01]-[PD_10]	-0.12680253653690732
[PD_01]-[PD_11]	-0.007037370673183885
[PD_01]-[PD_12]	-0.2648197930044236
[PD_01]-[PD_13]	-0.14160926156936715
[PD_01]-[PD_14]	0.0
[PD_01]-[PD_15]	-0.15409806525570224
[PD_01]-[PD_16]	-0.09641333365821403
[PD_01]-[PD_17]	-0.02529800840295815
[PD_01]-[PD_18]	-0.03920482694961924
[PD_01]-[PD_19]	0.0
[PD_01]-[PD_20]	-0.31428245793010356
[PD_01]-[PD_21]	-0.31428245793010356
[PD_02]-[PD_03]	-0.015707950464031173
[PD_02]-[PD_04]	-0.07746078183987004
[PD_02]-[PD_05]	-0.6897529413928724
[PD_02]-[PD_06]	0.0
[PD_02]-[PD_07]	-0.7633345177060081
[PD_02]-[PD_08]	0.0
[PD_02]-[PD_09]	0.0
[PD_02]-[PD_10]	-0.22267130397310197
[PD_02]-[PD_11]	-0.38406391294266706
[PD_02]-[PD_12]	-0.4482475789388023
[PD_02]-[PD_13]	-0.21262166341145838
[PD_02]-[PD_14]	0.0
[PD_02]-[PD_15]	-0.3095714546903401
[PD_02]-[PD_16]	-0.19347351491451265
[PD_02]-[PD_17]	-0.04774245362420482
[PD_02]-[PD_18]	-0.0266823746854028
[PD_02]-[PD_19]	-0.015010605970761093
[PD_02]-[PD_20]	-0.7201950941348734
[PD_02]-[PD_21]	-0.7201950941348734
[PD_03]-[PD_04]	-0.09736336317638439
[PD_03]-[PD_05]	-0.6723969843616223
[PD_03]-[PD_06]	0.0
[PD_03]-[PD_07]	-0.6982039024716331
[PD_03]-[PD_08]	-0.015707950464031173
[PD_03]-[PD_09]	0.0
[PD_03]-[PD_10]	-0.22953023206467593
[PD_03]-[PD_11]	-0.3666292884725151
[PD_03]-[PD_12]	-0.4806931805023944
[PD_03]-[PD_13]	-0.22332275390625
[PD_03]-[PD_14]	0.0
[PD_03]-[PD_15]	-0.28980763616711225
[PD_03]-[PD_16]	-0.20923016011714937
